year,month,day,ivolbr
2011,8,1,21.28711
2011,8,2,23.56743
2011,8,3,27.32514
2011,8,4,
2011,8,5,29.76039
2011,8,8,
2011,8,9,47.05294
2011,8,10,27.75004
2011,8,11,33.76601
2011,8,12,24.37536
2011,8,15,28.58706
2011,8,19,28.26896
2011,8,22,34.54205
2011,8,23,28.226
2011,8,24,31.71554
2011,8,25,27.61506
2011,8,26,26.99005
2011,8,29,26.2452
2011,8,30,27.02077
2011,8,31,26.57059
2011,9,1,25.27205
2011,9,2,25.62745
2011,9,5,30.41709
2011,9,6,30.28928
2011,9,12,36.24326
2011,9,13,36.41168
2011,9,14,29.67935
2011,9,15,29.76384
2011,9,16,28.98926
2011,9,20,26.60903
2011,9,22,38.85017
2011,9,23,41.72757
2011,9,26,42.45641
2011,9,27,35.48816
2011,9,28,33.4138
2011,9,29,33.17446
2011,10,3,44.16533
2011,10,4,29.40715
2011,10,5,38.68258
2011,10,6,34.65883
2011,10,7,
2011,10,10,28.90124
2011,10,11,35.86376
2011,10,13,30.09062
2011,10,14,30.2993
2011,10,17,26.5146
2011,10,18,
2011,10,19,28.84019
2011,10,20,30.93672
2011,10,21,29.43715
2011,10,24,27.37192
2011,10,25,26.24751
2011,10,26,25.50525
2011,10,27,25.58114
2011,10,28,22.27847
2011,10,31,24.53868
2011,11,1,29.56798
2011,11,3,25.89955
2011,11,4,25.62683
2011,11,7,25.14079
2011,11,9,28.85935
2011,11,11,28.4469
2011,11,14,24.9024
2011,11,16,29.67527
2011,11,17,29.18929
2011,11,18,24.76481
2011,11,21,35.90339
2011,11,22,29.26105
2011,11,23,31.60401
2011,11,24,30.04701
2011,11,25,31.86597
2011,11,28,25.35371
2011,11,29,29.55908
2011,11,30,24.25097
2011,12,1,27.24362
2011,12,2,26.0865
2011,12,5,27.92838
2011,12,6,26.58823
2011,12,7,37.58755
2011,12,8,25.83994
2011,12,9,30.78934
2011,12,12,
2011,12,13,26.47881
2011,12,14,25.92757
2011,12,15,28.11764
2011,12,16,27.20345
2011,12,19,25.35408
2011,12,20,25.29016
2011,12,21,25.76206
2011,12,22,24.50687
2011,12,23,23.52267
2011,12,26,
2011,12,28,26.66384
2011,12,29,23.14008
2012,1,2,23.12393
2012,1,3,23.17977
2012,1,4,23.72229
2012,1,5,23.1107
2012,1,6,21.90203
2012,1,9,24.00631
2012,1,10,20.12761
2012,1,11,23.41764
2012,1,12,22.58384
2012,1,13,23.15579
2012,1,16,21.61337
2012,1,17,22.57189
2012,1,18,22.19599
2012,1,19,21.0872
2012,1,20,19.83334
2012,1,23,18.18826
2012,1,24,19.44424
2012,1,26,20.03022
2012,1,27,18.87538
2012,1,30,21.83376
2012,1,31,19.94553
2012,2,1,19.30423
2012,2,2,20.12367
2012,2,3,20.31634
2012,2,6,22.5208
2012,2,7,18.95442
2012,2,8,17.88235
2012,2,9,21.26344
2012,2,10,21.56118
2012,2,13,19.39781
2012,2,14,19.76489
2012,2,15,20.49098
2012,2,16,20.05735
2012,2,17,20.25546
2012,2,22,19.4227
2012,2,23,17.62972
2012,2,24,19.66244
2012,2,27,20.71675
2012,2,28,19.38315
2012,2,29,20.96161
2012,3,1,19.54165
2012,3,2,21.21596
2012,3,5,21.3454
2012,3,6,23.25998
2012,3,7,22.7128
2012,3,8,21.86909
2012,3,9,20.76671
2012,3,12,18.82955
2012,3,13,18.40445
2012,3,14,18.39674
2012,3,15,20.23708
2012,3,16,20.07432
2012,3,19,19.06276
2012,3,20,19.60909
2012,3,21,22.36438
2012,3,22,19.94096
2012,3,23,20.45359
2012,3,26,16.62309
2012,3,27,18.38752
2012,3,28,21.30607
2012,3,29,20.14841
2012,3,30,19.75784
2012,4,2,19.36288
2012,4,3,22.72852
2012,4,4,23.30168
2012,4,5,18.87628
2012,4,9,24.26608
2012,4,10,24.14334
2012,4,11,23.68773
2012,4,12,23.38313
2012,4,13,18.41681
2012,4,16,24.86972
2012,4,17,23.11208
2012,4,18,19.85312
2012,4,19,22.99611
2012,4,20,22.91279
2012,4,23,21.61691
2012,4,24,23.89977
2012,4,25,21.60447
2012,4,26,19.39232
2012,4,27,21.9426
2012,4,30,21.50965
2012,5,2,19.49969
2012,5,3,18.71056
2012,5,4,19.46965
2012,5,7,19.32327
2012,5,8,22.63971
2012,5,9,22.113
2012,5,10,20.61101
2012,5,11,21.01649
2012,5,14,27.54151
2012,5,15,28.88688
