,year,month,day,week_si
0,2013,1,4,0.016929520368576048
1,2013,1,11,0.016571669578552245
2,2013,1,18,0.01682179927825928
3,2013,1,24,0.017272664308547972
4,2013,2,1,0.01719311237335205
5,2013,2,8,0.01852554202079773
6,2013,2,15,0.019812812805175783
7,2013,2,22,0.019477220773696898
8,2013,3,1,0.021138014793395995
9,2013,3,8,0.023243577480316163
10,2013,3,15,0.0221193790435791
11,2013,3,21,0.02250180721282959
12,2013,3,28,0.02263514995574951
13,2013,4,5,0.023455309867858886
14,2013,4,11,0.022953252792358398
15,2013,4,19,0.024262657165527345
16,2013,4,26,0.023155374526977537
17,2013,5,3,0.023767004013061522
18,2013,5,9,0.022259039878845213
19,2013,5,15,0.021625814437866212
20,2013,5,23,0.02063683032989502
21,2013,5,31,0.019572190046310424
22,2013,6,7,0.019854689836502074
23,2013,6,14,0.019314337968826294
24,2013,6,21,0.018720009326934815
25,2013,6,25,0.018839166164398194
26,2013,7,1,0.019986521005630493
27,2013,7,12,0.019681025743484497
28,2013,7,19,0.020370190143585206
29,2013,7,26,0.019740405082702635
30,2013,8,2,0.019387067556381227
31,2013,8,9,0.02085768461227417
32,2013,8,16,0.01952638030052185
33,2013,8,23,0.01906164050102234
34,2013,8,30,0.01783972978591919
35,2013,9,6,0.018098924160003662
36,2013,9,13,0.01689110279083252
37,2013,9,20,0.01669195294380188
38,2013,9,27,0.0159947144985199
39,2013,10,4,0.016088249683380126
40,2013,10,9,0.016165741682052613
41,2013,10,18,0.016910696029663087
42,2013,10,25,0.01692767262458801
43,2013,10,31,0.015175777673721313
44,2013,11,8,0.01650525093078613
45,2013,11,14,0.015519593954086303
46,2013,11,22,0.014831023216247559
47,2013,11,29,0.014057636260986328
48,2013,12,6,0.015089255571365357
49,2013,12,13,0.016059033870697022
50,2013,12,20,0.016636228561401366
51,2013,12,23,0.016880470514297485
52,2014,1,3,0.01511657953262329
53,2014,1,10,0.015849006175994874
54,2014,1,17,0.01667565941810608
55,2014,1,24,0.015564358234405518
56,2014,1,31,0.015262888669967651
57,2014,2,7,0.01584092378616333
58,2014,2,14,0.016944824457168578
59,2014,2,21,0.018121514320373535
60,2014,2,28,0.016260251998901368
61,2014,3,7,0.01636461019515991
