ano,mes,dia,yield_week_pc
2001,2,2,.0072266
2001,2,9,.0072532
2001,2,16,.0073506
2001,2,23,.0076099
2001,3,2,.0075169
2001,3,9,.0075013
2001,3,16,.0080504
2001,3,23,.0084101
2001,3,30,.008424
2001,4,6,.006941
2001,4,12,.0065845
2001,4,20,.006758
2001,4,27,.0067043
2001,5,4,.0064283
2001,5,11,.0064188
2001,5,18,.0064322
2001,5,25,.0063097
2001,6,1,.0063986
2001,6,8,.0062809
2001,6,15,.0064014
2001,6,22,.0066149
2001,6,29,.0066681
2001,7,6,.0070397
2001,7,13,.007196
2001,7,20,.0071876
2001,7,27,.0071409
2001,8,3,.0060252
2001,8,10,.0051676
2001,8,17,.0052622
2001,8,24,.0054393
2001,8,31,.0054297
2001,9,6,.0080905
2001,9,14,.0091545
2001,9,21,.0092821
2001,9,28,.0096004
2001,10,5,.0106177
2001,10,11,.0104124
2001,10,19,.0097392
2001,10,26,.0094814
2001,11,1,.0095454
2001,11,9,.0083155
2001,11,16,.008237
2001,11,23,.0080719
2001,11,30,.0080429
2001,12,7,.0123412
2001,12,14,.0124341
2001,12,21,.0124937
2001,12,28,.0121959
2002,1,4,.011725
2002,1,11,.011806
2002,1,18,.0123801
2002,1,24,.0123488
2002,2,1,.0124663
2002,2,8,.0116234
2002,2,15,.0112626
2002,2,22,.0110704
2002,3,1,.0110656
2002,3,8,.0135786
2002,3,15,.0134056
2002,3,22,.0134184
2002,3,28,.0138461
2002,4,5,.0161197
2002,4,12,.0159342
2002,4,19,.0156698
2002,4,26,.015879
2002,5,3,.0167197
2002,5,10,.0176484
2002,5,17,.0175375
2002,5,24,.0173264
2002,5,31,.0171282
2002,6,7,.0173931
2002,6,14,.0177978
2002,6,21,.019007
2002,6,28,.0192906
2002,7,5,.0199869
2002,7,12,.0198508
2002,7,19,.019702
2002,7,26,.0213615
2002,8,2,.0224443
2002,8,9,.0227145
2002,8,16,.0234713
2002,8,23,.0232882
2002,8,30,.0218649
2002,9,6,.0199166
2002,9,13,.0197562
2002,9,20,.0204713
2002,9,27,.0211125
2002,10,4,.0209174
2002,10,11,.0209594
2002,10,18,.0212959
