ano,mes,dia,semana_aluguel_100
2013,1,4,.0211526
2013,1,11,.0167015
2013,1,18,.0148965
2013,1,24,.0146646
2013,2,1,.014341
2013,2,8,.0142308
2013,2,15,.0140023
2013,2,22,.0142991
2013,3,1,.0159251
2013,3,8,.0229396
2013,3,15,.0259309
2013,3,21,.0183499
2013,3,28,.0176419
2013,4,5,.020275
2013,4,11,.0185574
2013,4,19,.0285411
2013,4,26,.0260925
2013,5,3,.040599
2013,5,9,.0378592
2013,5,15,.0193474
2013,5,23,.0173289
2013,5,31,.0173884
2013,6,7,.0175901
2013,6,14,.0193938
2013,6,21,.0208731
2013,6,25,.0181567
2013,7,1,.0227573
2013,7,12,.0209252
2013,7,19,.0210969
2013,7,26,.0217131
2013,8,2,.0222486
2013,8,9,.0252287
2013,8,16,.0253865
2013,8,23,.0269385
2013,8,30,.0241048
2013,9,6,.0247522
2013,9,13,.0259176
2013,9,20,.0247498
2013,9,27,.0209441
2013,10,4,.0206523
2013,10,9,.0188744
2013,10,18,.0241353
2013,10,25,.0345285
2013,10,31,.018093
2013,11,8,.0207181
2013,11,14,.0174138
2013,11,22,.0168443
2013,11,29,.0157367
2013,12,6,.0166989
2013,12,13,.0206674
2013,12,20,.0217397
2013,12,23,.0212539
2014,1,3,.0244448
2014,1,10,.0240129
2014,1,17,.0256343
2014,1,24,.0257831
2014,1,31,.0194737
2014,2,7,.0194243
2014,2,14,.0192885
2014,2,21,.0342279
2014,2,28,.0193343
2014,3,7,.0164623
2014,3,14,.0205838
2014,3,21,.017818
2014,3,28,.0195561
2014,4,4,.0471476
2014,4,11,.0521061
2014,4,25,.0254694
2014,5,2,.0315706
2014,5,9,.0302329
2014,5,16,.0146897
2014,5,23,.0146382
2014,5,30,.0137332
2014,6,6,.013459
2014,6,13,.0129005
2014,6,27,.0116652
2014,7,4,.0127339
2014,7,11,.010888
2014,7,15,.0109999
2014,8,1,.0206071
2014,8,8,.0115733
2014,8,15,.0145382
2014,8,22,.0104267
2014,8,29,.0091441
2014,9,5,.0111435
2014,9,12,.0103152
2014,9,19,.0127751
2014,9,26,.0084128
2014,10,3,.0089862
2014,10,10,.008322
2014,10,17,.0105281
2014,10,23,.027322
2014,10,31,.0119105
2014,11,7,.0131844
2014,11,14,.0119355
2014,11,21,.0119371
2014,11,28,.0123038
2014,12,5,.0135167
2014,12,12,.0137614
2014,12,19,.0168378
2014,12,26,.0190675
2015,1,2,.0151242
2015,1,9,.0143176
2015,1,16,.0140266
2015,1,23,.0138502
2015,1,30,.0135909
2015,2,6,.0141496
2015,2,13,.015179
2015,2,20,.0137905
2015,2,27,.0143542
2015,3,6,.0138032
2015,3,13,.0144294
2015,3,20,.0156496
2015,3,27,.0239761
2015,4,2,.0209338
2015,4,10,.021242
2015,4,17,.0240938
2015,4,24,.0214144
2015,4,30,.0203216
2015,5,8,.023945
2015,5,15,.0184876
2015,5,22,.0155626
2015,5,29,.0149797
2015,6,5,.0128545
2015,6,12,.0133276
2015,6,19,.0119593
2015,6,26,.0110324
2015,7,3,.0103958
2015,7,10,.0085723
2015,7,17,.0088008
2015,7,24,.0092792
2015,7,31,.008848
2015,8,6,.0095793
2015,8,14,.0111954
2015,8,21,.0127079
2015,8,28,.0138109
2015,9,4,.0158741
2015,9,11,.0173721
2015,9,18,.018689
2015,9,25,.0188975
2015,10,2,.0190676
2015,10,9,.0206472
