ano,mes,dia,semana_si_100
2013,1,4,.0169249
2013,1,11,.0165649
2013,1,18,.0168178
2013,1,24,.0172686
2013,2,1,.0171867
2013,2,8,.0185189
2013,2,15,.0198102
2013,2,22,.0194733
2013,3,1,.0211326
2013,3,8,.0232391
2013,3,15,.0221166
2013,3,21,.0224979
2013,3,28,.0226203
2013,4,5,.023432
2013,4,11,.0229365
2013,4,19,.02425
2013,4,26,.0231413
2013,5,3,.0237533
2013,5,9,.0222474
2013,5,15,.0216203
2013,5,23,.0206315
2013,5,31,.0195659
2013,6,7,.0198473
2013,6,14,.0193027
2013,6,21,.0187057
2013,6,25,.018826
2013,7,1,.0199797
2013,7,12,.0196781
2013,7,19,.0203683
2013,7,26,.0197444
2013,8,2,.0193937
2013,8,9,.0208652
2013,8,16,.0195332
2013,8,23,.0190666
2013,8,30,.0178446
2013,9,6,.0181034
2013,9,13,.0168934
2013,9,20,.0166938
2013,9,27,.0159967
2013,10,4,.0160907
2013,10,9,.016168
2013,10,18,.0169119
2013,10,25,.0169238
2013,10,31,.0151694
2013,11,8,.0165008
2013,11,14,.0155149
2013,11,22,.0148258
2013,11,29,.0140517
2013,12,6,.0150831
2013,12,13,.016055
2013,12,20,.0166333
2013,12,23,.0168795
2014,1,3,.0151155
2014,1,10,.0158474
2014,1,17,.0166712
2014,1,24,.0155589
2014,1,31,.0152596
2014,2,7,.0158377
2014,2,14,.016941
2014,2,21,.0181183
2014,2,28,.016251
2014,3,7,.0163544
2014,3,14,.0179324
2014,3,21,.0182033
2014,3,28,.0181149
2014,4,4,.0189173
2014,4,11,.0186871
2014,4,25,.0166338
2014,5,2,.0162691
2014,5,9,.0162843
2014,5,16,.0151628
2014,5,23,.0153335
2014,5,30,.0145533
2014,6,6,.0149131
2014,6,13,.0152633
2014,6,27,.0144098
2014,7,4,.0151501
2014,7,11,.0143497
2014,7,15,.0144617
2014,8,1,.0133724
2014,8,8,.0135538
2014,8,15,.0138835
2014,8,22,.0127052
2014,8,29,.0123546
2014,9,5,.0131401
2014,9,12,.0124585
2014,9,19,.0124977
2014,9,26,.0123494
2014,10,3,.0125683
2014,10,10,.013493
2014,10,17,.0133565
2014,10,23,.0145103
2014,10,31,.0157601
2014,11,7,.0165982
2014,11,14,.0158083
2014,11,21,.0160528
2014,11,28,.01486
2014,12,5,.0146758
2014,12,12,.0146267
2014,12,19,.0156825
2014,12,26,.0165566
2015,1,2,.0159925
2015,1,9,.0166965
2015,1,16,.0169061
