data_mes_ano;custo_capital_1ano_1;custo_capital_5anos_1;custo_capital_10anos_1;custo_capital_20anos_1
"1/2005";16.32;12.7;12.68;12.73
"2/2005";16.91;12.81;12.69;12.73
"3/2005";17.04;13.01;12.76;12.74
"4/2005";17.39;13.05;12.78;12.77
"5/2005";17.2;13.11;12.83;12.81
"6/2005";17.15;13.07;12.84;12.79
"7/2005";17.12;13;12.85;12.73
"8/2005";17.27;13.01;12.86;12.73
"9/2005";17.11;12.7;12.91;12.65
"10/2005";16.96;14.39;12.77;13.05
"11/2005";16.41;14.61;12.71;13.14
"12/2005";15.87;14.34;12.69;13.12
"1/2006";15.35;13.91;12.66;13.07
"2/2006";14.89;13.39;12.26;12.61
"3/2006";14.51;13.12;11.5;11.72
"4/2006";14.41;13.52;12.29;12.04
"5/2006";14.78;14.01;13.03;12.38
"6/2006";14.95;14.77;13.71;13.07
"7/2006";14.2;14.01;13.49;12.41
"8/2006";13.77;13.48;12.9;12.01
"9/2006";13.38;13.35;12.71;12.03
"10/2006";13.18;13.04;12.49;12.01
"11/2006";12.74;12.56;12.23;11.87
"12/2006";12.29;12.2;11.9;11.68
"1/2007";12.24;11.81;11.64;11.49
"2/2007";12.12;11.62;11.44;11.37
"3/2007";12.08;11.59;11.37;11.24
"4/2007";11.83;10.92;10.7;10.53
"5/2007";11.5;10.22;10.07;9.96
"6/2007";11.3;10.25;10;9.87
"7/2007";11.21;10.52;10.32;9.99
"8/2007";11.54;11.21;11.08;10.68
"9/2007";11.39;10.98;10.77;10.46
"10/2007";11.38;10.87;10.74;10.24
"11/2007";11.54;11.26;11.21;10.57
"12/2007";11.57;11.43;11.31;10.71
"1/2008";11.49;11.46;11.22;10.65
"2/2008";11.47;11.4;11.15;10.61
"3/2008";11.92;11.61;11.27;10.81
"4/2008";12.33;11.85;11.42;10.78
"5/2008";12.83;11.73;11.17;10.66
"6/2008";12.81;11.91;11.16;10.74
"7/2008";12.93;12.04;11.44;10.97
"8/2008";13.19;12.07;11.41;10.91
"9/2008";13.4;12.55;11.9;11.05
"10/2008";13.61;13.67;13.05;11.9
"11/2008";13.35;13.79;13.4;11.89
"12/2008";11.61;12.72;12.38;11.39
"1/2009";10.57;11.65;11.56;10.83
"2/2009";10.19;11.29;11.18;10.79
"3/2009";9.62;10.8;10.86;10.84
"4/2009";9.61;10.95;10.95;10.92
