data_mes_ano,custo_capital_1ano_1,custo_capital_5anos_1,custo_capital_10anos_1,custo_capital_20anos_1
"1/2005",16.22,12.61,12.58,12.63
"2/2005",16.81,12.72,12.59,12.63
"3/2005",16.94,12.91,12.66,12.64
"4/2005",17.29,12.95,12.68,12.67
"5/2005",17.1,13.01,12.74,12.72
"6/2005",17.05,12.97,12.74,12.69
"7/2005",17.02,12.9,12.75,12.63
"8/2005",17.17,12.91,12.76,12.63
"9/2005",17.02,12.6,12.82,12.55
"10/2005",16.86,14.29,12.67,12.95
"11/2005",16.31,14.51,12.62,13.04
"12/2005",15.77,14.24,12.59,13.03
"1/2006",15.25,13.82,12.56,12.97
"2/2006",14.8,13.29,12.16,12.51
"3/2006",14.41,13.02,11.4,11.63
"4/2006",14.31,13.42,12.19,11.94
"5/2006",14.68,13.91,12.94,12.28
"6/2006",14.86,14.67,13.62,12.98
"7/2006",14.11,13.91,13.39,12.31
"8/2006",13.68,13.38,12.8,11.91
"9/2006",13.29,13.26,12.61,11.93
"10/2006",13.08,12.94,12.39,11.91
"11/2006",12.64,12.46,12.14,11.77
"12/2006",12.2,12.1,11.8,11.59
"1/2007",12.14,11.71,11.54,11.39
"2/2007",12.02,11.52,11.34,11.27
"3/2007",11.98,11.49,11.27,11.14
"4/2007",11.74,10.82,10.61,10.43
"5/2007",11.4,10.12,9.97,9.86
"6/2007",11.2,10.15,9.9,9.77
"7/2007",11.11,10.42,10.23,9.9
"8/2007",11.44,11.11,10.99,10.58
"9/2007",11.29,10.88,10.67,10.36
"10/2007",11.28,10.77,10.64,10.14
"11/2007",11.44,11.17,11.11,10.47
"12/2007",11.47,11.33,11.21,10.61
"1/2008",11.39,11.36,11.12,10.56
"2/2008",11.38,11.3,11.05,10.51
"3/2008",11.82,11.51,11.17,10.71
"4/2008",12.23,11.75,11.32,10.68
"5/2008",12.73,11.63,11.07,10.56
"6/2008",12.72,11.81,11.06,10.64
"7/2008",12.83,11.94,11.34,10.87
"8/2008",13.09,11.98,11.31,10.82
"9/2008",13.3,12.45,11.81,10.95
"10/2008",13.52,13.57,12.95,11.81
"11/2008",13.25,13.69,13.31,11.8
"12/2008",11.52,12.62,12.28,11.3
"1/2009",10.48,11.55,11.46,10.73
"2/2009",10.09,11.19,11.08,10.7
"3/2009",9.52,10.71,10.76,10.74
"4/2009",9.51,10.85,10.85,10.82
"5/2009",9.15,10.64,10.67,10.64
"6/2009",9.01,10.42,10.36,10.26
"7/2009",8.77,10.31,10.28,10.23
"8/2009",8.91,10.24,10.23,10.16
"9/2009",9.04,10.12,10.07,10.05
"10/2009",9.38,10.33,10.28,10.27
"11/2009",9.39,10.53,10.47,10.39
"12/2009",9.67,10.52,10.43,10.21
"1/2010",9.65,10.44,10.36,10.05
"2/2010",9.68,10.34,10.27,9.96
"3/2010",9.94,10.34,10.26,9.97
"4/2010",10.18,10.27,10.09,9.93
"5/2010",10.55,10.54,10.31,10.1
"6/2010",10.74,10.45,10.19,10.05
"7/2010",10.43,10.29,10.15,10.06
"8/2010",9.97,9.98,9.92,9.88
"9/2010",9.81,9.91,9.82,9.78
"10/2010",9.63,9.78,9.73,9.68
"11/2010",9.91,9.79,9.72,9.64
"12/2010",10.25,9.89,9.74,9.58
"1/2011",10.58,9.96,9.8,9.48
"2/2011",10.67,10.18,10.05,9.59
"3/2011",10.76,10.26,10.13,9.7
"4/2011",10.67,10.29,10.19,9.75
"5/2011",10.97,10.29,10.16,9.68
"6/2011",11.23,10.32,10.16,9.73
"7/2011",11.13,10.42,10.3,9.91
"8/2011",10.22,9.99,10.01,9.82
"9/2011",8.74,9.11,9.5,9.46
"10/2011",8.57,9.07,9.47,9.42
"11/2011",8.2,9.01,9.35,9.3
"12/2011",8.3,9,9.26,9.21
"1/2012",8.4,9.13,9.36,9.2
"2/2012",7.85,8.65,9.1,9.16
"3/2012",7.33,8.36,8.82,8.98
"4/2012",6.88,8.18,8.51,8.72
"5/2012",6.2,7.63,7.93,8.06
"6/2012",6.06,7.97,8.38,8.46
"7/2012",5.71,7.5,8.11,8.22
"8/2012",5.62,7.38,7.85,8.03
"9/2012",5.64,7.24,7.68,7.93
"10/2012",5.55,6.76,7.31,7.71
"11/2012",5.68,6.72,7.3,7.72
"12/2012",5.37,6.4,7.14,7.66
"1/2013",5.3,6.4,7.07,7.5
"2/2013",5.87,7.1,7.58,7.83
"3/2013",6.16,7.25,7.6,7.84
"4/2013",6.3,7.37,7.79,8.13
"5/2013",6.36,7.37,7.85,8.15
"6/2013",7.34,8.71,8.9,9.04
"7/2013",7.26,8.67,8.87,9.08
"8/2013",7.62,9.02,9.12,9.23
"9/2013",7.71,9.18,9.3,9.41
"10/2013",7.84,9.19,9.38,9.53
"11/2013",8.33,9.67,9.79,9.92
"12/2013",8.23,9.9,10.13,10.28
"1/2014",8.71,10.2,10.35,10.48
"2/2014",9.06,10.19,10.45,10.6
"3/2014",8.84,10.06,10.34,10.55
"4/2014",8.84,9.92,10.14,10.38
"5/2014",8.98,9.83,9.96,10.01
"6/2014",8.75,9.47,9.79,9.86
"7/2014",8.68,9.39,9.68,9.78
"8/2014",8.82,9.42,9.62,9.67
"9/2014",8.93,9.37,9.44,9.48
"10/2014",9.25,9.54,9.53,9.61
"11/2014",9.64,9.71,9.73,9.84
"12/2014",9.8,9.87,9.88,9.93
"1/2015",9.68,9.77,9.71,9.77
"2/2015",10.06,10.06,10,10.03
"3/2015",10.52,10.25,10.21,10.19
"4/2015",10.86,10.18,10.07,9.94
"5/2015",11.43,10.24,10.03,9.78
"6/2015",11.72,10.24,9.96,9.79
"7/2015",11.75,10.35,10.22,10.14
"8/2015",12.25,10.8,10.79,10.68
"9/2015",13.16,11.3,11.26,11.22
"10/2015",12.67,11.07,11.15,11.12
"11/2015",12.27,10.86,10.89,10.75
"12/2015",12.48,11.16,11.1,11.1
"1/2016",11.93,10.69,11.09,11.2
"2/2016",11.13,10.41,10.98,11.14
"3/2016",10.85,10.01,10.38,10.44
"4/2016",10.84,10.03,10.14,10.1
"5/2016",10.88,9.79,9.79,9.81
"6/2016",10.87,9.86,9.88,9.89
"7/2016",11.18,9.96,9.89,9.77
"8/2016",11.43,9.76,9.65,9.54
"9/2016",11.33,9.82,9.72,9.69
"10/2016",11.14,9.63,9.58,9.45
"11/2016",11.27,9.96,9.92,9.79
"12/2016",10.85,9.85,9.86,9.79
"1/2017",10.15,9.42,9.47,9.35
"2/2017",9.68,9.22,9.23,9.1
"3/2017",9.13,8.85,9.06,8.94
"4/2017",8.74,8.64,9.04,9.03
"5/2017",8.37,8.92,9.27,9.2
"6/2017",8.43,9.19,9.42,9.38
"7/2017",7.82,8.88,9.17,9.2
"8/2017",7.1,8.35,8.83,8.93
"9/2017",7.07,8.13,8.65,8.77
"10/2017",6.86,8,8.62,8.79
"11/2017",6.79,8.34,8.85,9.04
"12/2017",6.81,8.58,8.93,9.17
"1/2018",6.74,8.3,8.59,8.95
"2/2018",6.58,8.26,8.53,8.82
"3/2018",6.37,8.05,8.5,8.79
"4/2018",6.14,7.92,8.52,8.92
"5/2018",6.36,8.3,8.84,9.14
"6/2018",7.05,9.04,9.44,9.56
"7/2018",7.36,8.98,9.42,9.47
"8/2018",7.9,9.04,9.3,9.45
"9/2018",7.93,9.38,9.54,9.65
"10/2018",7.1,8.65,8.93,9.14
"11/2018",7.12,8.43,8.64,8.89
"12/2018",6.8,8.31,8.54,8.81
"1/2019",6.43,7.9,8.13,8.41
"2/2019",6.31,7.8,7.94,8.24
"3/2019",6.29,7.73,7.9,8.18
"4/2019",6.5,7.8,8.04,8.25
"5/2019",6.62,7.66,7.86,8.06
"6/2019",6.26,7.09,7.34,7.64
"7/2019",5.71,6.62,7.04,7.38
"8/2019",5.55,6.61,7.02,7.35
"9/2019",5.46,6.55,7,7.34
"10/2019",4.96,6.1,6.67,7.04
"11/2019",4.72,5.97,6.58,6.96
"12/2019",4.42,6.1,6.73,7.12
"1/2020",4.52,6.16,6.83,7.17
"2/2020",4.62,6.05,6.67,7.1
"3/2020",4.33,6.83,7.44,7.94
"4/2020",4.06,6.67,7.58,8.14
"5/2020",3.81,6.52,7.6,8.09
"6/2020",3.18,5.91,7.11,7.82
"7/2020",2.92,5.57,6.71,7.5
"8/2020",3.09,5.54,6.7,7.41
"9/2020",3.13,5.78,6.94,7.64
"10/2020",3.23,6.19,7.21,7.84
"11/2020",3.1,6.3,7.21,7.84
"12/2020",2.54,5.95,6.82,7.55
"1/2021",3.17,6.16,6.92,7.53
"2/2021",3.46,6.25,7.03,7.57
"3/2021",4.03,6.84,7.4,7.83
"4/2021",4.82,7.23,7.76,8.02
"5/2021",5.02,7.12,7.81,8.08
"6/2021",5.62,7.23,7.72,7.95
"7/2021",6.08,7.45,7.82,8.04
"8/2021",7.04,7.99,8.2,8.35
"9/2021",7.45,8.28,8.46,8.6
"10/2021",8.9,8.72,8.9,8.98
"11/2021",10.2,9,9.03,9.06
"12/2021",10.2,8.75,8.85,8.94
"1/2022",10.57,9.1,9.29,9.39
"2/2022",10.73,9.08,9.34,9.41
"3/2022",10.89,9.26,9.46,9.52
