ano,mes,dia,HML
2001,1,2,.0654897
2001,1,3,.0093899
2001,1,4,-.0023274
2001,1,5,-.0023966
2001,1,8,.0019477
2001,1,9,-.0009161
2001,1,10,.0124678
2001,1,11,-.0034538
2001,1,12,.0034749
2001,1,15,-.0007597
2001,1,16,.0126983
2001,1,17,.0060964
2001,1,18,-.008399
2001,1,19,.0027748
2001,1,22,.0117104
2001,1,23,.0096574
2001,1,24,-.0164807
2001,1,26,.0140644
2001,1,29,-.0041749
2001,1,30,.0013309
2001,1,31,.0055681
2001,2,1,.0055596
2001,2,2,.0191237
2001,2,5,.0050458
2001,2,6,-.0065597
2001,2,7,.0054113
2001,2,8,.0209404
2001,2,9,.0084271
2001,2,12,.0113527
2001,2,13,-.0111882
2001,2,14,.013064
2001,2,15,-.0001889
2001,2,16,-.0010376
2001,2,19,-.0011761
2001,2,20,.020123
2001,2,21,-.0012895
2001,2,22,-.0000774
2001,2,23,.0164226
2001,2,28,-.0391143
2001,3,1,.0069588
2001,3,2,-.0121417
2001,3,5,-.0050755
2001,3,6,-.0109616
2001,3,7,-.0033976
2001,3,8,.0052496
2001,3,9,.0029178
2001,3,12,.0260992
2001,3,13,.0077959
2001,3,14,.0008056
2001,3,15,-.0075904
2001,3,16,.0037829
2001,3,19,.0033381
2001,3,20,.0198487
2001,3,21,.0094448
2001,3,22,-.012358
2001,3,23,-.0099424
2001,3,26,-.0053072
2001,3,27,-.0012125
2001,3,28,.0176513
2001,3,29,-.00544
2001,3,30,.0002126
2001,4,2,-.004884
2001,4,3,.0066667
2001,4,4,-.0018967
2001,4,5,-.0044831
2001,4,6,.0106029
2001,4,9,-.001899
2001,4,10,-.0082285
2001,4,11,-.0113526
2001,4,12,-.0163754
2001,4,16,.0007228
2001,4,17,.0043679
2001,4,18,-.0242786
2001,4,19,-.0104573
2001,4,20,.0064808
2001,4,23,.0092215
2001,4,24,-.0149605
2001,4,25,-.0129369
2001,4,26,-.0128226
2001,4,27,-.0130054
2001,4,30,-.0118441
2001,5,2,-.002344
2001,5,3,.0245565
2001,5,4,.0057057
2001,5,7,-.0033033
2001,5,8,-.0023918
2001,5,9,-.0090988
2001,5,10,-.0081294
2001,5,11,-.01141
2001,5,14,-.0290053
2001,5,15,-.0320478
2001,5,16,.0041382
2001,5,17,-.0014991
2001,5,18,-.0167524
2001,5,21,-.0536783
2001,5,22,.0093457
2001,5,23,-.0183575
2001,5,24,-.009683
2001,5,25,-.0034739
2001,5,28,-.0326209
2001,5,29,.0228194
2001,5,30,.0240537
2001,5,31,.0030202
2001,6,1,-.0019937
2001,6,4,.0016874
2001,6,5,.0152387
2001,6,6,.0143574
2001,6,7,.003605
2001,6,8,.0116764
2001,6,11,-.0118097
2001,6,12,-.0131792
2001,6,13,.0090205
2001,6,15,.010668
2001,6,18,.0112587
2001,6,19,.0175203
2001,6,20,.0120059
2001,6,21,.0114789
2001,6,22,.0065612
2001,6,25,-.0090355
2001,6,26,-.0032411
2001,6,27,-.0004681
2001,6,28,-.0008453
2001,6,29,-.0118269
2001,7,2,-.0092918
2001,7,3,-.0010716
2001,7,4,-.0079239
2001,7,5,-.0070021
2001,7,6,.0217997
2001,7,10,-.0135704
2001,7,11,.0289719
2001,7,12,-.0009233
2001,7,13,-.0120306
2001,7,16,.0164468
2001,7,17,-.0043169
2001,7,18,.0074118
2001,7,19,-.0043974
2001,7,20,.0022751
2001,7,23,.0080908
2001,7,24,-.007434
2001,7,25,.0048116
2001,7,26,.0065344
2001,7,27,-.0004376
2001,7,30,.0020014
2001,7,31,-.0030229
2001,8,1,-.0096369
2001,8,2,.0125439
2001,8,3,.0057522
2001,8,6,-.0023539
2001,8,7,-.0024105
2001,8,8,.0189571
2001,8,9,.0065179
2001,8,10,.0144671
2001,8,13,-.0058828
2001,8,14,.0077134
2001,8,15,.0227996
2001,8,16,.0060068
2001,8,17,.0079825
2001,8,20,.0042352
2001,8,21,-.0164313
2001,8,22,.0150559
2001,8,23,.0101672
2001,8,24,-.0145549
2001,8,27,-.0078206
2001,8,28,.0088079
2001,8,29,.0082583
2001,8,30,.0089111
2001,8,31,-.0094021
2001,9,3,.00588
2001,9,4,.0098569
2001,9,5,.0510085
2001,9,6,.0202175
2001,9,10,.0066568
2001,9,11,.0261826
2001,9,12,-.0018185
2001,9,13,.0172589
2001,9,14,.0355165
2001,9,17,-.0609365
2001,9,18,-.0263615
2001,9,19,.0033858
2001,9,20,-.0071812
2001,9,21,-.030928
2001,9,24,.0060801
2001,9,25,-.0003782
2001,9,26,.0104422
2001,9,27,.0100917
2001,9,28,-.0355972
2001,10,1,.0048397
2001,10,2,-.0106582
2001,10,3,-.0178773
2001,10,4,-.0003936
2001,10,5,-.0041017
2001,10,8,.0072769
2001,10,9,.0013373
2001,10,10,-.0185173
2001,10,11,-.012632
2001,10,15,.0314609
2001,10,16,.0265542
2001,10,17,-.0081678
2001,10,18,.0090439
2001,10,19,.0262839
2001,10,22,.0186457
2001,10,23,-.0337736
2001,10,24,-.0094825
2001,10,25,.0077792
2001,10,26,.0058572
2001,10,29,.0145402
2001,10,30,.0133379
2001,10,31,-.0094973
2001,11,1,-.0125732
2001,11,5,-.0142045
2001,11,6,.0160498
2001,11,7,-.0134017
2001,11,8,-.0114436
2001,11,9,.0151242
2001,11,12,-.0105466
2001,11,13,-.009066
2001,11,14,.0057047
2001,11,16,.0145983
2001,11,19,.0200591
2001,11,20,.0015469
2001,11,21,.019273
2001,11,22,-.0040826
2001,11,23,.0098341
2001,11,26,-.0140355
2001,11,27,-.0073609
2001,11,28,.0208757
2001,11,29,.0014226
2001,11,30,-.004311
2001,12,3,-.0118649
2001,12,4,-.0060074
2001,12,5,-.0004269
2001,12,6,.0228257
2001,12,7,.0038346
2001,12,10,.0112546
2001,12,11,.0045153
2001,12,12,.0042464
2001,12,13,-.0009605
2001,12,14,-.0180278
2001,12,17,.0103223
2001,12,18,.0090871
2001,12,19,-.0034614
2001,12,20,-.0075958
2001,12,21,.0203201
2001,12,26,-.0045155
2001,12,27,-.0102806
2001,12,28,-.0180719
2002,1,2,.010085
2002,1,3,-.0053369
2002,1,4,-.0000161
2002,1,7,.0085311
2002,1,8,-.0030796
2002,1,9,.0084622
2002,1,10,.0053987
2002,1,11,.0165731
2002,1,14,.0141601
2002,1,15,.0063523
2002,1,16,.0175736
2002,1,17,.0024595
2002,1,18,.0168191
2002,1,21,.008094
2002,1,22,-.0045982
2002,1,23,-.0013911
2002,1,24,-.0000124
2002,1,28,-.0207181
2002,1,29,.0129663
2002,1,30,.0074768
2002,1,31,.0159196
2002,2,1,.0119672
2002,2,4,-.0079228
2002,2,5,.0112383
2002,2,6,.0111049
2002,2,7,-.0105362
2002,2,8,-.0027353
2002,2,13,.0029731
2002,2,14,.004784
2002,2,15,-.0005339
2002,2,18,-.0083624
2002,2,19,.008294
2002,2,20,.0080283
2002,2,21,-.0043111
2002,2,22,.0229775
2002,2,25,.0129309
2002,2,26,-.013056
2002,2,27,.0015006
2002,2,28,-.0077346
2002,3,1,-.0091334
2002,3,4,-.0010522
2002,3,5,.0067053
2002,3,6,-.0113632
2002,3,7,.005274
2002,3,8,.018015
2002,3,11,.0088624
2002,3,12,-.0076252
2002,3,13,.0042481
2002,3,14,.0116053
2002,3,15,.0112859
2002,3,18,.0036102
2002,3,19,-.0003251
2002,3,20,.0082645
2002,3,21,-.0057338
2002,3,22,-.0134073
2002,3,25,-.0114833
2002,3,26,.0126328
2002,3,27,.0084562
2002,3,28,-.0067295
2002,4,1,.0053047
2002,4,2,-.0066164
2002,4,3,-.0045516
2002,4,4,.0207616
2002,4,5,-.0047447
2002,4,8,.0050435
2002,4,9,-.0025542
2002,4,10,.0086938
2002,4,11,.0129228
2002,4,12,-.0021249
2002,4,15,-.0011282
2002,4,16,.0030545
2002,4,17,.0067116
2002,4,18,-.0024546
2002,4,19,.0073014
2002,4,22,.0024252
2002,4,23,-.0199523
2002,4,24,.0019309
2002,4,25,.0099415
2002,4,26,.0096691
2002,4,29,-.0064633
2002,4,30,-.0007192
2002,5,2,-.0096589
2002,5,3,-.0167356
2002,5,6,-.0295238
2002,5,7,-.0122688
2002,5,8,-.0072952
2002,5,9,-.0121223
2002,5,10,.0238572
2002,5,13,-.0088448
2002,5,14,.0088059
2002,5,15,-.0023024
2002,5,16,.0154371
2002,5,17,-.0048684
2002,5,20,-.0065575
2002,5,21,.0033429
2002,5,22,-.0028325
2002,5,23,.0027993
2002,5,24,.0064556
2002,5,27,-.001799
2002,5,28,-.0024562
2002,5,29,-.0029972
2002,5,31,.0054308
2002,6,3,-.0115299
2002,6,4,-.0046389
2002,6,5,-.0045968
2002,6,6,-.0036574
2002,6,7,.0015821
2002,6,10,.0115369
2002,6,11,-.01287
2002,6,12,.000084
2002,6,13,.0197718
2002,6,14,.008625
2002,6,17,-.0014546
2002,6,18,-.0045334
2002,6,19,.0033651
2002,6,20,.0045321
2002,6,21,-.0216058
2002,6,24,-.0174707
