ano,mes,dia,IML
2001,1,2,.0141093
2001,1,3,.0045104
2001,1,4,-.0092265
2001,1,5,.0251243
2001,1,8,-.0011752
2001,1,9,-.0039783
2001,1,10,.0221338
2001,1,11,-.0022782
2001,1,12,.010328
2001,1,15,.0068919
2001,1,16,.0083023
2001,1,17,.0013048
2001,1,18,-.00089
2001,1,19,.0252817
2001,1,22,-.0015512
2001,1,23,-.0091035
2001,1,24,.0042323
2001,1,26,-.0033405
2001,1,29,.0059604
2001,1,30,.0181828
2001,1,31,-.0114999
2001,2,1,.0225289
2001,2,2,.028865
2001,2,5,.0023126
2001,2,6,.0021395
2001,2,7,.0062126
2001,2,8,.0121444
2001,2,9,.0036169
2001,2,12,.0082809
2001,2,13,-.0093823
2001,2,14,.0104632
2001,2,15,-.0031609
2001,2,16,-.0000489
2001,2,19,.0004913
2001,2,20,.0082628
2001,2,21,.0045672
2001,2,22,-.0042253
2001,2,23,.0132291
2001,2,28,-.0263563
2001,3,1,.0227302
2001,3,2,-.0062958
2001,3,5,-.00311
2001,3,6,-.0116171
2001,3,7,.0027952
2001,3,8,-.0151589
2001,3,9,.0014576
2001,3,12,.0041708
2001,3,13,.0067856
2001,3,14,.0037939
2001,3,15,-.0087409
2001,3,16,.0149419
2001,3,19,.0048544
2001,3,20,.0235605
2001,3,21,-.0055525
2001,3,22,.0118339
2001,3,23,-.0230687
2001,3,26,-.0142881
2001,3,27,.0082715
2001,3,28,-.000652
2001,3,29,-.0045043
2001,3,30,.0048881
2001,4,2,-.0054146
2001,4,3,-.0052529
2001,4,4,-.0160189
2001,4,5,-.0285667
2001,4,6,.0130402
2001,4,9,-.0151284
2001,4,10,.0213958
2001,4,11,.0187439
2001,4,12,-.0236888
2001,4,16,.0063593
2001,4,17,.0012436
2001,4,18,-.0171703
2001,4,19,-.0178385
2001,4,20,-.0095334
2001,4,23,-.0185738
2001,4,24,-.0220932
2001,4,25,-.0061066
2001,4,26,.0124257
2001,4,27,-.0152717
2001,4,30,-.0293981
2001,5,2,.0057947
2001,5,3,.0313479
2001,5,4,.018022
2001,5,7,.0006969
2001,5,8,-.004837
2001,5,9,-.007319
2001,5,10,-.0087187
2001,5,11,.0017816
2001,5,14,-.023326
2001,5,15,-.0311508
2001,5,16,.0077443
2001,5,17,-.0056349
2001,5,18,-.0181306
2001,5,21,-.0342061
2001,5,22,.0131062
2001,5,23,.0009129
2001,5,24,.0023875
2001,5,25,-.006886
2001,5,28,-.0152656
2001,5,29,.0278001
2001,5,30,.0100674
2001,5,31,-.0110237
2001,6,1,-.0090844
2001,6,4,-.0015853
2001,6,5,.012097
2001,6,6,.0067288
2001,6,7,-.0010058
2001,6,8,.0033079
2001,6,11,-.0208024
2001,6,12,.00712
2001,6,13,.0296399
2001,6,15,-.0062479
2001,6,18,.0017238
2001,6,19,.0085848
2001,6,20,.0053312
2001,6,21,.0176593
2001,6,22,.0128056
2001,6,25,.0031679
2001,6,26,.0090788
2001,6,27,.0189575
2001,6,28,.011141
2001,6,29,-.0178151
2001,7,2,-.0005011
2001,7,3,.0144401
2001,7,4,-.0104793
2001,7,5,-.0303964
2001,7,6,-.0053755
2001,7,10,-.0193545
2001,7,11,.0319368
2001,7,12,-.0232045
2001,7,13,-.0127278
2001,7,16,.0284583
2001,7,17,.0020293
2001,7,18,-.0089208
2001,7,19,-.0046538
2001,7,20,.0181188
2001,7,23,-.0074058
2001,7,24,-.0079615
2001,7,25,-.0041539
2001,7,26,.0002582
2001,7,27,.0111013
2001,7,30,-.0004615
2001,7,31,-.0024679
2001,8,1,-.0095913
2001,8,2,.0152669
2001,8,3,.0075487
2001,8,6,-.0121059
2001,8,7,.0204406
2001,8,8,.0358413
2001,8,9,.0232375
2001,8,10,.0104313
2001,8,13,-.0056705
2001,8,14,-.0116062
2001,8,15,.0114789
2001,8,16,-.0082192
2001,8,17,-.01146
2001,8,20,.010818
2001,8,21,-.0245752
2001,8,22,.0099675
2001,8,23,.0214076
2001,8,24,.0091893
2001,8,27,-.0079035
2001,8,28,-.0113374
2001,8,29,.0107266
2001,8,30,-.0066429
2001,8,31,-.0036311
2001,9,3,.0192591
2001,9,4,.0186974
2001,9,5,.0381403
2001,9,6,.0172629
2001,9,10,.0161618
2001,9,11,-.0218617
2001,9,12,-.0102753
2001,9,13,-.0077207
2001,9,14,-.0257724
2001,9,17,-.0355648
2001,9,18,-.0186335
2001,9,19,.0044488
2001,9,20,-.0168102
2001,9,21,-.0552442
2001,9,24,-.0003648
2001,9,25,.005105
2001,9,26,-.0191804
2001,9,27,.0282589
2001,9,28,-.0318414
2001,10,1,-.0141552
2001,10,2,-.0111835
2001,10,3,-.0030795
2001,10,4,.0221082
2001,10,5,.0075869
2001,10,8,-.0071798
2001,10,9,-.0152833
2001,10,10,-.0088098
2001,10,11,-.0106171
2001,10,15,.0316569
2001,10,16,.0224463
2001,10,17,-.0107138
2001,10,18,.0263411
2001,10,19,.0500328
2001,10,22,.0233407
2001,10,23,-.0233266
2001,10,24,-.0141974
2001,10,25,.0163646
2001,10,26,.0219009
2001,10,29,-.0083782
2001,10,30,.0119203
2001,10,31,-.0011448
2001,11,1,-.0015665
2001,11,5,-.0241291
2001,11,6,.0240618
2001,11,7,.0064615
2001,11,8,-.0176489
2001,11,9,.0101296
2001,11,12,-.0068079
2001,11,13,.0072024
2001,11,14,.0030923
2001,11,16,.0103168
2001,11,19,.0087329
2001,11,20,-.0075112
2001,11,21,.034219
2001,11,22,.0142589
2001,11,23,.0227318
2001,11,26,.0042513
2001,11,27,-.0067643
2001,11,28,.0177246
2001,11,29,-.0172923
