ano,mes,dia,Rm_minus_Rf
2001,1,2,.0066006
2001,1,3,.0624275
2001,1,4,-.0003098
2001,1,5,-.0128392
2001,1,8,.0039816
2001,1,9,.0199855
2001,1,10,-.004368
2001,1,11,.0046936
2001,1,12,-.0067832
2001,1,15,.0051099
2001,1,16,-.0074728
2001,1,17,.0209894
2001,1,18,.0228937
2001,1,19,.005666
2001,1,22,-.007178
2001,1,23,.0199789
2001,1,24,-.0042301
2001,1,26,.0072413
2001,1,29,.0020902
2001,1,30,-.0076775
2001,1,31,.0028756
2001,2,1,-.0274736
2001,2,2,-.0102213
2001,2,5,-.0101777
2001,2,6,.0132211
2001,2,7,-.0080205
2001,2,8,.0202185
2001,2,9,-.007049
2001,2,12,-.0119071
2001,2,13,.0069198
2001,2,14,.0049995
2001,2,15,-.0082948
2001,2,16,-.0363849
2001,2,19,-.0088104
2001,2,20,.0009499
2001,2,21,-.0153381
2001,2,22,.0164705
2001,2,23,.0101849
2001,2,28,-.0163298
2001,3,1,.0275424
2001,3,2,.0087122
2001,3,5,-.0064151
2001,3,6,-.0076905
2001,3,7,.0097218
2001,3,8,-.0055388
2001,3,9,-.0049303
2001,3,12,-.0379675
2001,3,13,.001801
2001,3,14,-.0179895
2001,3,15,-.0144607
2001,3,16,.0060942
2001,3,19,-.0220919
2001,3,20,.004778
2001,3,21,.0008579
2001,3,22,-.0517556
2001,3,23,.0229159
2001,3,26,.0218288
2001,3,27,.0134533
2001,3,28,-.0139697
2001,3,29,-.0183298
2001,3,30,.0070363
2001,4,2,-.0317929
2001,4,3,-.0166817
2001,4,4,.010708
2001,4,5,.0385603
2001,4,6,.0016999
2001,4,9,.0095289
2001,4,10,.0213875
2001,4,11,-.0131405
2001,4,12,.0084037
2001,4,16,-.0308265
2001,4,17,-.0065608
2001,4,18,.033082
2001,4,19,-.0328373
2001,4,20,-.0460948
2001,4,23,.0172658
2001,4,24,.0119704
2001,4,25,.0117865
2001,4,26,.038323
2001,4,27,.009453
2001,4,30,-.0021609
2001,5,2,.0020573
2001,5,3,.0124556
2001,5,4,-.0017765
2001,5,7,-.0152601
2001,5,8,-.0058832
2001,5,9,.0081946
2001,5,10,.0160454
2001,5,11,-.0228392
2001,5,14,-.0232174
2001,5,15,.0059621
2001,5,16,.0263813
2001,5,17,.0062257
2001,5,18,.0009099
2001,5,21,.0114588
2001,5,22,-.0083558
2001,5,23,-.0040607
2001,5,24,-.0116977
2001,5,25,-.0122046
2001,5,28,-.0076433
2001,5,29,.0056197
2001,5,30,.0040589
2001,5,31,.0117709
2001,6,1,.0071032
2001,6,4,.020216
2001,6,5,.0110739
2001,6,6,-.0091074
2001,6,7,.0054884
2001,6,8,-.0105874
2001,6,11,-.0080505
2001,6,12,-.0071202
2001,6,13,.0141424
2001,6,15,-.022131
2001,6,18,-.0312594
2001,6,19,.0028792
2001,6,20,.0124876
2001,6,21,.0083667
2001,6,22,-.006196
2001,6,25,-.0097931
2001,6,26,-.0084734
2001,6,27,-.0098882
2001,6,28,.0027686
2001,6,29,.0127186
2001,7,2,.0011029
2001,7,3,-.020082
2001,7,4,-.015762
2001,7,5,.0012964
2001,7,6,-.0068855
2001,7,10,-.0184625
2001,7,11,.0096081
2001,7,12,.0088809
2001,7,13,.0080721
2001,7,16,-.020339
2001,7,17,.0165666
2001,7,18,-.0213362
2001,7,19,.0038783
2001,7,20,.0188114
2001,7,23,.0007847
2001,7,24,-.0173285
2001,7,25,.0136023
2001,7,26,-.0090519
2001,7,27,.0044651
2001,7,30,-.0111718
2001,7,31,.0071468
2001,8,1,-.0051808
2001,8,2,.0008614
2001,8,3,.0043364
2001,8,6,.013236
2001,8,7,-.0016993
2001,8,8,-.0032164
2001,8,9,-.002548
2001,8,10,.0058726
2001,8,13,-.0099454
2001,8,14,.0059362
2001,8,15,-.0081773
2001,8,16,-.0069844
2001,8,17,-.0296958
2001,8,20,-.0008246
2001,8,21,-.0068568
2001,8,22,.0083713
2001,8,23,-.0132223
2001,8,24,.0196896
2001,8,27,-.002524
2001,8,28,.0030887
2001,8,29,.0026334
2001,8,30,-.0134647
2001,8,31,-.0066005
2001,9,3,-.0066269
2001,9,4,.0097805
2001,9,5,.0034796
2001,9,6,-.0229405
2001,9,10,-.0220773
2001,9,11,-.0734214
2001,9,12,.0271978
2001,9,13,-.074125
2001,9,14,-.0195106
2001,9,17,.0563655
2001,9,18,.0138205
2001,9,19,.0062826
2001,9,20,-.0293351
2001,9,21,-.0148748
2001,9,24,.000952
2001,9,25,-.0242645
2001,9,26,-.0195659
2001,9,27,.0251033
2001,9,28,.0198063
2001,10,1,-.016281
2001,10,2,-.0125927
2001,10,3,-.0091022
2001,10,4,-.0025011
2001,10,5,.0053752
2001,10,8,-.0078014
2001,10,9,.0154798
2001,10,10,.0192153
2001,10,11,.0266372
2001,10,15,.0354357
2001,10,16,-.0036855
2001,10,17,.0010221
2001,10,18,-.0169989
2001,10,19,.015052
2001,10,22,.0208994
2001,10,23,-.0003963
2001,10,24,-.0126708
2001,10,25,.0087627
2001,10,26,.0074297
2001,10,29,-.0286929
2001,10,30,-.0241674
2001,10,31,.02582
2001,11,1,-.0005908
2001,11,5,.0410418
2001,11,6,.0133975
2001,11,7,.0061778
2001,11,8,-.0065916
2001,11,9,.0158184
2001,11,12,-.0201218
2001,11,13,.0193864
2001,11,14,-.0086779
2001,11,16,.0003827
2001,11,19,.0120277
2001,11,20,-.0117923
2001,11,21,.0085631
2001,11,22,.015571
2001,11,23,.0155794
2001,11,26,.0117159
2001,11,27,-.0102748
2001,11,28,-.0326649
2001,11,29,-.0193649
2001,11,30,.0057807
2001,12,3,.0262229
2001,12,4,-.0125647
2001,12,5,.0199395
2001,12,6,.0056741
2001,12,7,-.0125634
2001,12,10,.0016576
2001,12,11,-.0043633
2001,12,12,.0049781
2001,12,13,-.0228989
2001,12,14,-.0099152
2001,12,17,-.0003812
2001,12,18,.0209139
2001,12,19,-.0057008
2001,12,20,-.0165198
2001,12,21,.0246508
2001,12,26,.0007518
2001,12,27,.0258812
2001,12,28,-.0054375
2002,1,2,.0191677
2002,1,3,.0227754
2002,1,4,.0001276
2002,1,7,.0039865
2002,1,8,-.0060679
2002,1,9,-.0111034
2002,1,10,-.0256841
2002,1,11,-.0021797
2002,1,14,-.033262
2002,1,15,-.0103539
2002,1,16,.006497
2002,1,17,.0184126
2002,1,18,.0017389
2002,1,21,-.0144241
2002,1,22,-.0047461
2002,1,23,.0138595
2002,1,24,-.0044655
2002,1,28,-.0017584
2002,1,29,-.0305569
2002,1,30,-.0033349
2002,1,31,.016061
2002,2,1,-.0029165
2002,2,4,-.0050683
2002,2,5,.0120998
2002,2,6,.003825
2002,2,7,-.0028807
2002,2,8,-.0075857
2002,2,13,.0205475
2002,2,14,.0190206
2002,2,15,.0042455
2002,2,18,-.0089014
2002,2,19,-.0062766
2002,2,20,.0167719
2002,2,21,.0183085
2002,2,22,.0052198
2002,2,25,.0223928
2002,2,26,.0015242
2002,2,27,.0155003
2002,2,28,-.0045268
2002,3,1,.0208904
2002,3,4,.0029977
2002,3,5,-.0284752
2002,3,6,-.0078919
2002,3,7,-.0059354
2002,3,8,.0097601
2002,3,11,-.0103667
2002,3,12,.0282678
2002,3,13,.0059036
2002,3,14,-.0070717
2002,3,15,.0175892
2002,3,18,-.0042548
2002,3,19,-.0025803
2002,3,20,-.0027104
2002,3,21,-.0216728
2002,3,22,-.023424
2002,3,25,.0009839
2002,3,26,.0181571
2002,3,27,-.0036365
2002,3,28,-.0118735
2002,4,1,.0180008
2002,4,2,-.0155104
2002,4,3,-.0118649
2002,4,4,.0173176
2002,4,5,-.0064917
2002,4,8,-.0028383
2002,4,9,.0016129
2002,4,10,.016375
2002,4,11,-.0014799
2002,4,12,.0168731
2002,4,15,-.0125362
2002,4,16,.0072973
2002,4,17,.0073294
2002,4,18,-.0115175
2002,4,19,-.0097476
2002,4,22,-.0080392
2002,4,23,.0017345
2002,4,24,.0095043
2002,4,25,-.0122635
2002,4,26,-.0108391
2002,4,29,.0014676
2002,4,30,-.0016041
2002,5,2,-.0285666
2002,5,3,.0041899
2002,5,6,-.0121957
2002,5,7,-.0029255
2002,5,8,.0215333
2002,5,9,-.0303465
2002,5,10,-.000659
2002,5,13,-.0106787
2002,5,14,.0152999
2002,5,15,.0068417
2002,5,16,.0181035
2002,5,17,.0008517
2002,5,20,-.0039253
2002,5,21,.0021081
2002,5,22,-.0157844
2002,5,23,.0138168
2002,5,24,.0008648
2002,5,27,.0012083
2002,5,28,.0005774
2002,5,29,.0123769
2002,5,31,-.0102226
2002,6,3,-.0072654
2002,6,4,.0013117
2002,6,5,-.0026417
2002,6,6,-.0335069
2002,6,7,.0029561
2002,6,10,.0213751
2002,6,11,-.0193481
2002,6,12,-.0098135
2002,6,13,-.016273
2002,6,14,-.0245461
2002,6,17,.0142002
2002,6,18,-.0066271
2002,6,19,-.0220105
2002,6,20,-.0493719
2002,6,21,-.03792
2002,6,24,.0212102
2002,6,25,.015325
2002,6,26,.0121999
2002,6,27,.0306494
2002,6,28,.0136565
2002,7,1,-.0160155
2002,7,2,-.0053199
2002,7,3,-.0165
2002,7,4,.0042445
2002,7,5,-.0134831
2002,7,8,.0092662
2002,7,10,-.0156298
2002,7,11,.0093809
2002,7,12,.010432
2002,7,15,-.0190074
2002,7,16,.001995
2002,7,17,.0163216
2002,7,18,.0035773
2002,7,19,-.0138598
2002,7,22,-.0554072
2002,7,23,-.0202056
2002,7,24,.0174732
2002,7,25,-.0300693
2002,7,26,-.0449195
2002,7,29,.0012195
2002,7,30,.0018105
2002,7,31,.0495851
2002,8,1,-.0026168
2002,8,2,.0126015
2002,8,5,-.0263075
2002,8,6,.0146357
2002,8,7,.0121453
2002,8,8,.0396492
2002,8,9,-.0149629
2002,8,12,-.0272668
2002,8,13,-.0296712
2002,8,14,-.0078143
2002,8,15,-.0165509
2002,8,16,.0295403
2002,8,19,-.010946
2002,8,20,-.012644
2002,8,21,.0125362
2002,8,22,.0208485
2002,8,23,-.0024099
2002,8,26,.0335608
2002,8,27,.0283133
2002,8,28,-.0078276
2002,8,29,-.0017847
2002,8,30,-.001687
2002,9,2,-.0006001
2002,9,3,-.0093781
2002,9,4,-.004397
2002,9,5,-.0182221
2002,9,6,.0014494
2002,9,9,.0117301
2002,9,10,.0055141
2002,9,11,.0182983
2002,9,12,-.0027125
2002,9,13,.002278
2002,9,16,-.0237348
2002,9,17,-.0167524
2002,9,18,-.0103065
2002,9,19,-.0137606
2002,9,20,.0164951
2002,9,23,-.019192
2002,9,24,-.0045931
2002,9,25,-.0055317
2002,9,26,.0007615
2002,9,27,-.0390699
2002,9,30,-.0085999
2002,10,1,.032256
2002,10,2,-.0066098
2002,10,3,.0327322
2002,10,4,.0009716
2002,10,7,-.0289045
2002,10,8,-.0009477
2002,10,9,-.0084906
2002,10,10,.0104023
2002,10,11,-.0091171
2002,10,14,-.035837
2002,10,15,.0013379
2002,10,16,-.0080766
2002,10,17,.0544283
2002,10,18,.0078742
2002,10,21,.0095161
2002,10,22,.0172906
2002,10,23,.0496672
2002,10,24,.007309
2002,10,25,.020047
2002,10,28,-.0254822
2002,10,29,-.0027006
2002,10,30,.0360757
2002,10,31,.0097583
2002,11,1,-.0062305
2002,11,4,-.0234495
2002,11,5,-.0133604
2002,11,6,-.008256
2002,11,7,.009388
2002,11,8,.0048741
2002,11,11,-.0001932
2002,11,12,-.011496
2002,11,13,.0018549
2002,11,14,.0091501
2002,11,18,.0113849
2002,11,19,-.0103896
2002,11,20,.0051982
2002,11,21,.0201427
2002,11,22,-.0036954
2002,11,25,-.0086748
2002,11,26,-.0095697
2002,11,27,.0017166
2002,11,28,-.0009751
2002,11,29,.0255479
2002,12,2,.0070807
2002,12,3,-.0033338
2002,12,4,-.0034542
2002,12,5,-.0119561
2002,12,6,.0091457
2002,12,9,-.0164196
2002,12,10,.0041706
2002,12,11,.0201747
2002,12,12,-.0000225
2002,12,13,-.0073694
2002,12,16,.0086449
2002,12,17,.0062525
2002,12,18,.0023175
2002,12,19,.0156744
2002,12,20,.0142504
2002,12,23,-.004951
2002,12,26,-.0050448
2002,12,27,-.0080835
2002,12,30,.009017
2003,1,2,.0127451
2003,1,3,-.0042622
2003,1,6,.0177272
2003,1,7,-.0191502
2003,1,8,-.0016658
2003,1,9,.0101915
2003,1,10,.0140605
2003,1,13,-.0089711
2003,1,14,.0006527
2003,1,15,-.0050993
2003,1,16,-.0007747
2003,1,17,-.020412
2003,1,20,-.0034207
2003,1,21,-.0075815
2003,1,22,-.0244755
2003,1,23,-.0046089
2003,1,24,-.023507
2003,1,27,-.0124132
2003,1,28,-.0048363
2003,1,29,.0266033
2003,1,30,-.0098849
2003,1,31,.0135614
2003,2,3,.0041794
2003,2,4,-.0144823
2003,2,5,.0050656
2003,2,6,-.0043717
2003,2,7,-.0141378
2003,2,10,.0090837
2003,2,11,.000342
2003,2,12,.0002361
2003,2,13,-.0245893
2003,2,14,-.0052668
2003,2,17,.0068824
2003,2,18,.01199
2003,2,19,-.0109314
2003,2,20,-.0051994
2003,2,21,.0113615
2003,2,24,-.0128344
2003,2,25,-.0091233
2003,2,26,-.0119311
2003,2,27,.0042448
2003,2,28,.0141933
2003,3,5,-.0051145
2003,3,6,.0200106
2003,3,7,.0033738
2003,3,10,-.0248316
2003,3,11,.0030201
2003,3,12,.0131748
2003,3,13,.0076834
2003,3,14,.0067286
2003,3,17,.0037344
