ano,mes,ILLIQ_vw_bps
2001,1,.3148882
2001,2,.4760613
2001,3,.5598739
2001,4,.6686726
2001,5,.6164091
2001,6,.5009612
2001,7,1.173357
2001,8,.7988989
2001,9,2.298463
2001,10,1.222797
2001,11,1.281387
2001,12,1.213586
2002,1,.4370161
2002,2,.3989215
2002,3,.3757083
2002,4,.3730726
2002,5,.4513505
2002,6,.6139523
2002,7,.5413367
2002,8,.5360745
2002,9,.5813045
2002,10,.6604799
2002,11,.4971502
2002,12,.4719707
2003,1,.3552114
2003,2,.4336069
2003,3,.3380759
2003,4,.222293
2003,5,.2423201
2003,6,.2198699
2003,7,.2464913
2003,8,.2354203
2003,9,.2026863
2003,10,.2241733
2003,11,.2314945
2003,12,.2858353
2004,1,.2771918
2004,2,.3614097
2004,3,.4008368
2004,4,.3020159
2004,5,.3827761
2004,6,.4334606
2004,7,.3140903
2004,8,.2845309
2004,9,.3106556
2004,10,.2754382
2004,11,.2978586
2004,12,.2534689
2005,1,.3941275
2005,2,.6166791
2005,3,.5689672
2005,4,.7959464
2005,5,.8399225
2005,6,.7352923
2005,7,.7055948
2005,8,.5372475
2005,9,.5727157
2005,10,.8048396
2005,11,.6526795
2005,12,.6610668
2006,1,.4897799
2006,2,.5047306
2006,3,.6161081
2006,4,.4759838
2006,5,.4973357
2006,6,.7177702
2006,7,.6386746
2006,8,.4112646
2006,9,.687407
2006,10,.8234956
2006,11,1.293738
2006,12,3.051527
2007,1,.4207902
2007,2,.8148153
2007,3,.7349296
2007,4,.5314851
2007,5,.6629421
2007,6,.8816206
2007,7,7.48958
2007,8,7.352199
2007,9,11.79506
2007,10,3.346297
2007,11,9.085242
2007,12,13.09682
2008,1,.8623122
2008,2,1.335962
2008,3,1.250224
2008,4,1.390589
2008,5,.9412553
2008,6,1.343164
2008,7,3.313796
2008,8,3.772267
2008,9,5.467695
2008,10,9.585695
2008,11,5.039731
2008,12,10.34387
2009,1,1.557094
2009,2,1.720287
2009,3,1.334211
2009,4,.7632146
2009,5,.9521404
2009,6,.7279837
2009,7,.9957812
2009,8,.5816541
2009,9,.6569539
2009,10,.6832795
2009,11,1.167432
2009,12,.5509633
2010,1,.9611691
2010,2,2.360749
2010,3,1.490583
2010,4,1.783116
2010,5,.5141362
2010,6,.4624048
2010,7,.4996269
2010,8,.4240804
2010,9,.4183708
2010,10,.3944867
2010,11,.4313074
2010,12,.6464757
2011,1,.5481029
2011,2,.8295428
2011,3,.7109439
2011,4,.9115563
2011,5,.7956645
2011,6,2.516467
2011,7,.8942726
2011,8,.9923827
2011,9,2.154868
2011,10,.9567442
2011,11,.9427021
2011,12,2.673799
2012,1,.4761299
2012,2,.4158186
2012,3,.4471015
2012,4,.5452501
2012,5,2.576378
2012,6,.7744758
2012,7,.6930553
2012,8,.5112611
2012,9,.4226076
2012,10,.4639272
2012,11,.5760639
2012,12,.3749431
2013,1,.3098814
2013,2,.3255322
2013,3,.313996
2013,4,.3621905
2013,5,.3598368
2013,6,.3386392
2013,7,.4189757
2013,8,.3878588
2013,9,.3871468
2013,10,.364435
2013,11,.3720544
2013,12,.4591772
2014,1,.4928441
2014,2,.6261516
2014,3,.7037535
2014,4,.6575215
2014,5,.6882768
2014,6,.6874465
2014,7,.9048861
2014,8,.8663489
2014,9,1.033084
2014,10,1.360921
2014,11,1.192656
2014,12,1.406057
2015,1,1.053836
2015,2,.9836795
2015,3,.7596248
2015,4,.7949316
2015,5,.8600983
2015,6,.8262978
2015,7,.9977963
2015,8,1.102396
2015,9,1.092679
2015,10,1.482301
2015,11,1.354504
2015,12,2.77845
2016,1,2.243546
2016,2,3.213906
2016,3,1.114622
2016,4,.8840515
2016,5,3.384382
2016,6,4.518028
2016,7,4.533086
2016,8,3.861483
2016,9,3.74825
2016,10,1.354435
2016,11,3.328206
2016,12,.9413065
2017,1,.3966016
2017,2,.4105512
2017,3,.6651098
2017,4,.5718302
2017,5,.6590511
2017,6,1.23431
2017,7,7.235907
2017,8,.4624525
2017,9,.3552056
2017,10,.4104314
2017,11,.474023
2017,12,.9619233
2018,1,.3072265
2018,2,.3321771
2018,3,.3150764
2018,4,.3737793
2018,5,.4098879
2018,6,.4324133
2018,7,.4870463
2018,8,.4507008
2018,9,.4897521
2018,10,.4127722
2018,11,.3565366
2018,12,.3134605
2019,1,.3308814
2019,2,.2806114
2019,3,.3079187
2019,4,.3283005
2019,5,.3829895
2019,6,.5325966
2019,7,.6459574
2019,8,.6234151
2019,9,.6394872
2019,10,1.064086
2019,11,1.208196
2019,12,.3280284
2020,1,.2459506
2020,2,.2827432
2020,3,.6191002
2020,4,.3993938
2020,5,.3527882
2020,6,.2353697
2020,7,.2275731
2020,8,.2360415
2020,9,.2280413
2020,10,.2271252
2020,11,.2360845
2020,12,.2132885
2021,1,.3446091
2021,2,.9894366
2021,3,1.459999
2021,4,.8180549
2021,5,.8289148
2021,6,1.238024
2021,7,1.489282
2021,8,1.335585
2021,9,1.424571
2021,10,1.447724
2021,11,1.501994
2021,12,.7032158
2022,1,1.564481
2022,2,.9792706
2022,3,1.227356
2022,4,1.142702
2022,5,1.644344
2022,6,1.199144
2022,7,1.27402
2022,8,.989165
2022,9,.844577
