ano,mes,dia,Swap_1M
2001,1,2,.0005785
2001,1,3,.0005771
2001,1,4,.0005737
2001,1,5,.0005727
2001,1,8,.0005727
2001,1,9,.0005699
2001,1,10,.0005696
2001,1,11,.0005679
2001,1,12,.0005672
2001,1,15,.0005658
2001,1,16,.0005665
2001,1,17,.0005651
2001,1,18,.0005644
2001,1,19,.000563
2001,1,22,.000562
2001,1,23,.000561
2001,1,24,.0005599
2001,1,26,.0005572
2001,1,29,.0005565
2001,1,30,.0005555
2001,1,31,.0005558
2001,2,1,.0005558
2001,2,2,.0005555
2001,2,5,.0005568
2001,2,6,.0005575
2001,2,7,.0005589
2001,2,8,.0005579
2001,2,9,.0005565
2001,2,12,.0005586
2001,2,13,.0005572
2001,2,14,.0005555
2001,2,15,.0005606
2001,2,16,.000563
2001,2,19,.0005655
2001,2,20,.0005665
2001,2,21,.0005675
2001,2,22,.0005655
2001,2,23,.0005641
2001,2,28,.0005634
2001,3,1,.000563
2001,3,2,.0005617
2001,3,5,.000562
2001,3,6,.0005613
2001,3,7,.0005613
2001,3,8,.0005624
2001,3,9,.000561
2001,3,12,.000562
2001,3,13,.0005644
2001,3,14,.0005686
2001,3,15,.0005987
2001,3,16,.0005984
2001,3,19,.0006232
2001,3,20,.0005922
2001,3,21,.0006072
2001,3,22,.0007105
2001,3,23,.0006942
2001,3,26,.0006307
2001,3,27,.0006144
2001,3,28,.0006175
2001,3,29,.0006432
2001,3,30,.00061
2001,4,2,.0006154
2001,4,3,.0006212
2001,4,4,.0006225
2001,4,5,.000613
2001,4,6,.00061
2001,4,9,.0006096
2001,4,10,.0006066
2001,4,11,.0006151
2001,4,12,.0006249
2001,4,16,.0006671
2001,4,17,.0006364
2001,4,18,.0006364
2001,4,19,.0006435
2001,4,20,.0007409
2001,4,23,.0007248
2001,4,24,.0007261
2001,4,25,.000733
2001,4,26,.0006745
2001,4,27,.0006503
2001,4,30,.0006513
2001,5,2,.0006526
2001,5,3,.0006388
2001,5,4,.00063
2001,5,7,.0006361
2001,5,8,.000632
2001,5,9,.0006331
2001,5,10,.0006276
2001,5,11,.0006462
2001,5,14,.0006584
2001,5,15,.0006503
2001,5,16,.0006398
2001,5,17,.0006435
2001,5,18,.0006452
2001,5,21,.0006445
2001,5,22,.0006533
2001,5,23,.0006621
2001,5,24,.0006445
2001,5,25,.0006439
2001,5,28,.0006418
2001,5,29,.0006402
2001,5,30,.0006388
2001,5,31,.0006418
2001,6,1,.0006537
2001,6,4,.0006439
2001,6,5,.0006385
2001,6,6,.0006402
2001,6,7,.0006358
2001,6,8,.0006347
2001,6,11,.0006368
2001,6,12,.0006364
2001,6,13,.0006395
2001,6,15,.0006499
2001,6,18,.0006885
2001,6,19,.0006909
2001,6,20,.0006818
2001,6,21,.0006788
2001,6,22,.0006718
2001,6,25,.0006738
2001,6,26,.0006825
2001,6,27,.0006909
2001,6,28,.0006999
2001,6,29,.0006935
2001,7,2,.0006942
2001,7,3,.0007191
2001,7,4,.0007455
2001,7,5,.0007969
2001,7,6,.0007607
2001,7,10,.0008263
2001,7,11,.0008299
2001,7,12,.0008591
2001,7,13,.0008479
2001,7,16,.0008179
2001,7,17,.0008024
2001,7,18,.0008047
2001,7,19,.0007891
2001,7,20,.0007698
2001,7,23,.0007452
2001,7,24,.0007698
2001,7,25,.0007547
2001,7,26,.0007561
2001,7,27,.0007597
2001,7,30,.0007465
2001,7,31,.0007538
2001,8,1,.000757
2001,8,2,.0007472
2001,8,3,.0007485
2001,8,6,.0007419
2001,8,7,.0007505
2001,8,8,.000735
2001,8,9,.0007409
2001,8,10,.0007327
2001,8,13,.0007373
2001,8,14,.0007511
2001,8,15,.0007403
2001,8,16,.000733
2001,8,17,.0007426
2001,8,20,.000732
2001,8,21,.0007478
2001,8,22,.0007224
2001,8,23,.0007261
2001,8,24,.0007211
2001,8,27,.0007228
2001,8,28,.0007132
2001,8,29,.0007098
2001,8,30,.0007122
2001,8,31,.0007092
2001,9,3,.0007075
2001,9,4,.0007062
2001,9,5,.0007088
2001,9,6,.0007105
2001,9,10,.0007105
2001,9,11,.0007314
2001,9,12,.000733
2001,9,13,.0007449
2001,9,14,.0007613
2001,9,17,.000734
2001,9,18,.0007214
2001,9,19,.0007241
2001,9,20,.0007214
2001,9,21,.0007393
2001,9,24,.0007616
2001,9,25,.0007557
2001,9,26,.000758
2001,9,27,.000735
2001,9,28,.0007248
2001,10,1,.0007271
2001,10,2,.0007267
2001,10,3,.000739
2001,10,4,.0007488
2001,10,5,.0007429
2001,10,8,.0007501
2001,10,9,.0007432
2001,10,10,.000737
2001,10,11,.0007406
2001,10,15,.0007297
2001,10,16,.0007208
2001,10,17,.0007168
2001,10,18,.0007221
2001,10,19,.0007161
2001,10,22,.0007175
2001,10,23,.0007188
2001,10,24,.0007244
2001,10,25,.0007181
2001,10,26,.0007204
2001,10,29,.0007231
2001,10,30,.0007204
2001,10,31,.0007132
2001,11,1,.0007118
2001,11,5,.0007042
2001,11,6,.0007022
2001,11,7,.0006965
2001,11,8,.0006955
2001,11,9,.0006985
2001,11,12,.0007022
2001,11,13,.0006999
2001,11,14,.0006969
2001,11,16,.0006929
2001,11,19,.0006872
2001,11,20,.0006935
2001,11,21,.0006895
2001,11,22,.0006959
2001,11,23,.0006945
2001,11,26,.0006979
2001,11,27,.0006992
2001,11,28,.0007019
2001,11,29,.0007042
2001,11,30,.0007012
2001,12,3,.0006982
2001,12,4,.0006982
2001,12,5,.0007015
2001,12,6,.0007025
2001,12,7,.0007019
2001,12,10,.0006965
2001,12,11,.0006975
2001,12,12,.0006979
2001,12,13,.0006982
2001,12,14,.0006979
2001,12,17,.0006992
2001,12,18,.0006969
2001,12,19,.0006919
2001,12,20,.0006985
2001,12,21,.0006979
2001,12,26,.0006969
2001,12,27,.0006955
2001,12,28,.0006909
2002,1,2,.0006895
2002,1,3,.0006882
2002,1,4,.0006905
2002,1,7,.0006869
2002,1,8,.0006895
2002,1,9,.0006905
2002,1,10,.0006915
2002,1,11,.0006919
2002,1,14,.0006939
2002,1,15,.0006945
2002,1,16,.0006949
2002,1,17,.0006902
2002,1,18,.0006909
2002,1,21,.0006912
2002,1,22,.0006912
2002,1,23,.0006895
2002,1,24,.0006932
2002,1,28,.0006935
2002,1,29,.0006955
2002,1,30,.0006969
2002,1,31,.0006979
2002,2,1,.0006935
2002,2,4,.0006949
2002,2,5,.0006975
2002,2,6,.0006905
2002,2,7,.0006902
2002,2,8,.0006902
2002,2,13,.0006865
2002,2,14,.0006869
2002,2,15,.0006859
2002,2,18,.0006865
2002,2,19,.0006859
2002,2,20,.0006849
2002,2,21,.0006815
2002,2,22,.0006825
2002,2,25,.0006805
2002,2,26,.0006812
2002,2,27,.0006798
2002,2,28,.0006812
2002,3,1,.0006812
2002,3,4,.0006815
2002,3,5,.0006805
2002,3,6,.0006818
2002,3,7,.0006768
2002,3,8,.0006815
2002,3,11,.0006815
2002,3,12,.0006738
2002,3,13,.0006751
2002,3,14,.0006738
2002,3,15,.0006731
2002,3,18,.0006671
2002,3,19,.0006708
2002,3,20,.0006648
2002,3,21,.0006745
2002,3,22,.0006758
2002,3,25,.0006758
2002,3,26,.0006748
2002,3,27,.0006735
2002,3,28,.0006728
2002,4,1,.0006725
2002,4,2,.0006718
2002,4,3,.0006721
2002,4,4,.0006721
2002,4,5,.0006718
2002,4,8,.0006688
2002,4,9,.0006678
2002,4,10,.0006678
2002,4,11,.0006671
2002,4,12,.0006661
2002,4,15,.0006674
2002,4,16,.0006671
2002,4,17,.0006658
2002,4,18,.0006725
2002,4,19,.0006718
2002,4,22,.0006738
2002,4,23,.0006735
2002,4,24,.0006721
2002,4,25,.0006728
2002,4,26,.0006728
2002,4,29,.0006728
2002,4,30,.0006681
2002,5,2,.0006725
2002,5,3,.0006705
2002,5,6,.0006698
2002,5,7,.0006695
2002,5,8,.0006681
2002,5,9,.0006691
2002,5,10,.0006671
2002,5,13,.0006681
2002,5,14,.0006701
2002,5,15,.0006698
2002,5,16,.0006668
2002,5,17,.0006671
2002,5,20,.0006671
2002,5,21,.0006661
2002,5,22,.0006684
2002,5,23,.0006678
2002,5,24,.0006678
2002,5,27,.0006684
2002,5,28,.0006661
2002,5,29,.0006644
2002,5,31,.0006637
2002,6,3,.0006594
2002,6,4,.0006526
