ano,mes,dia,SMB
2001,1,2,.0005238
2001,1,3,.0053896
2001,1,4,.0066896
2001,1,5,.003523
2001,1,8,.0078834
2001,1,9,.0059281
2001,1,10,.0131503
2001,1,11,-.010816
2001,1,12,.0066184
2001,1,15,.0000672
2001,1,16,-.0008213
2001,1,17,.006132
2001,1,18,-.0099994
2001,1,19,.013494
2001,1,22,.0073877
2001,1,23,.0121509
2001,1,24,.0016492
2001,1,26,.0063491
2001,1,29,-.0164142
2001,1,30,-.0025516
2001,1,31,-.026115
2001,2,1,-.0005132
2001,2,2,.0090063
2001,2,5,.0036855
2001,2,6,.0226921
2001,2,7,-.0079863
2001,2,8,.0164668
2001,2,9,-.0030034
2001,2,12,.0090649
2001,2,13,.0002841
2001,2,14,-.0010245
2001,2,15,-.0012274
2001,2,16,-.0055555
2001,2,19,-.0016034
2001,2,20,-.0177401
2001,2,21,-.0048853
2001,2,22,.003839
2001,2,23,.0100897
2001,2,28,-.0187594
2001,3,1,.0286685
2001,3,2,.0002961
2001,3,5,.0098602
2001,3,6,-.0014166
2001,3,7,.000873
2001,3,8,-.0163064
2001,3,9,.006274
2001,3,12,.0113951
2001,3,13,.0016324
2001,3,14,-.0183093
2001,3,15,-.0052309
2001,3,16,.0084484
2001,3,19,.0020393
2001,3,20,.0235794
2001,3,21,-.0136657
2001,3,22,.0077827
2001,3,23,-.015485
2001,3,26,-.0081032
2001,3,27,.0073632
2001,3,28,-.0015807
2001,3,29,-.0039407
2001,3,30,.0066263
2001,4,2,.00052
2001,4,3,.0032199
2001,4,4,-.0044103
2001,4,5,-.0181468
2001,4,6,.0122629
2001,4,9,-.0161869
2001,4,10,.0021404
2001,4,11,.0037914
2001,4,12,-.0080735
2001,4,16,.0015882
2001,4,17,.0032284
2001,4,18,.011963
2001,4,19,.0012838
2001,4,20,.0018841
2001,4,23,-.0265912
2001,4,24,-.0096237
2001,4,25,-.007036
2001,4,26,-.0012661
2001,4,27,-.0156968
2001,4,30,-.009725
2001,5,2,-.0038464
2001,5,3,.0203661
2001,5,4,.0084371
2001,5,7,.0119524
2001,5,8,.0033405
2001,5,9,-.011097
2001,5,10,-.0058232
2001,5,11,-.0101582
2001,5,14,-.0155076
2001,5,15,-.0047268
2001,5,16,.0282875
2001,5,17,-.0163712
2001,5,18,.0057535
2001,5,21,-.0194678
2001,5,22,.0052616
2001,5,23,-.010223
2001,5,24,.0059971
2001,5,25,-.0202003
2001,5,28,.0049185
2001,5,29,.0084166
2001,5,30,.0105218
2001,5,31,-.0100912
2001,6,1,-.0077444
2001,6,4,.0044782
2001,6,5,.0111012
2001,6,6,.007832
2001,6,7,.0125511
2001,6,8,.010576
2001,6,11,-.0014529
2001,6,12,.0036713
2001,6,13,.0227825
2001,6,15,-.0112169
2001,6,18,-.0036314
2001,6,19,-.0140323
2001,6,20,-.0115379
2001,6,21,.0256603
2001,6,22,-.0049733
2001,6,25,-.0190564
2001,6,26,.0000916
2001,6,27,.0013034
2001,6,28,.0049654
2001,6,29,-.0053761
2001,7,2,-.0073704
2001,7,3,.0077375
2001,7,4,-.0032357
2001,7,5,-.0063375
2001,7,6,.0082659
2001,7,10,-.0058479
2001,7,11,.0309968
2001,7,12,-.0311055
2001,7,13,-.008565
2001,7,16,.0191194
2001,7,17,-.0014791
2001,7,18,-.0088154
2001,7,19,-.0098345
2001,7,20,-.0023733
2001,7,23,-.0023218
2001,7,24,-.003069
2001,7,25,.0054828
2001,7,26,.0027215
2001,7,27,.0159517
2001,7,30,-.0045374
2001,7,31,-.002143
2001,8,1,-.0109896
2001,8,2,-.0030164
2001,8,3,-.0006652
2001,8,6,-.0053253
2001,8,7,.0063445
2001,8,8,.0155836
2001,8,9,.0057606
2001,8,10,.0043709
2001,8,13,-.0054486
2001,8,14,-.0039473
2001,8,15,.0116535
2001,8,16,.0030478
2001,8,17,-.0088471
2001,8,20,.0103757
2001,8,21,-.0199709
2001,8,22,.0018131
2001,8,23,.0096392
