ano,mes,dia,WML
2001,1,2,-.0063083
2001,1,3,-.0286437
2001,1,4,-.0009458
2001,1,5,.0059846
2001,1,8,-.004099
2001,1,9,.0095644
2001,1,10,-.0006906
2001,1,11,-.0030611
2001,1,12,.0060192
2001,1,15,-.0138214
2001,1,16,.0232592
2001,1,17,.0073069
2001,1,18,.0179737
2001,1,19,.0156706
2001,1,22,.0078027
2001,1,23,-.0148361
2001,1,24,-.0449802
2001,1,26,-.0085255
2001,1,29,-.0186697
2001,1,30,.0286607
2001,1,31,-.0015547
2001,2,1,.0203032
2001,2,2,.0037949
2001,2,5,.0091502
2001,2,6,.0076487
2001,2,7,.0051303
2001,2,8,-.000117
2001,2,9,.0017983
2001,2,12,.0022959
2001,2,13,-.0019253
2001,2,14,.001124
2001,2,15,.0036171
2001,2,16,.0176998
2001,2,19,-.000678
2001,2,20,.0035576
2001,2,21,.0006788
2001,2,22,-.009128
2001,2,23,.0030446
2001,2,28,.0168358
2001,3,1,-.0216913
2001,3,2,.0073769
2001,3,5,.0082914
2001,3,6,.0186716
2001,3,7,.0129858
2001,3,8,.0111364
2001,3,9,-.0090042
2001,3,12,.0064434
2001,3,13,-.0080328
2001,3,14,.00496
2001,3,15,-.0010096
2001,3,16,-.01431
2001,3,19,.0034806
2001,3,20,-.0133652
2001,3,21,.0052824
2001,3,22,.0146401
2001,3,23,-.004718
2001,3,26,.0146887
2001,3,27,.0039581
2001,3,28,.0101725
2001,3,29,.0231739
2001,3,30,-.0104378
2001,4,2,-.0100132
2001,4,3,.0001967
2001,4,4,-.0095948
2001,4,5,-.0236906
2001,4,6,.0019426
2001,4,9,.0050049
2001,4,10,-.0096674
2001,4,11,-.0070113
2001,4,12,-.0060191
2001,4,16,.0233657
2001,4,17,.0227909
2001,4,18,-.033735
2001,4,19,-.0034819
2001,4,20,-.0063499
2001,4,23,.0100078
2001,4,24,-.0023152
2001,4,25,.0128365
2001,4,26,-.0104182
2001,4,27,-.0039901
2001,4,30,.0008065
2001,5,2,.0111486
2001,5,3,-.0101409
2001,5,4,.0106104
2001,5,7,.0101214
2001,5,8,-.0064106
2001,5,9,.0071881
2001,5,10,-.0106006
2001,5,11,.0203524
2001,5,14,.006805
2001,5,15,-.0215339
2001,5,16,-.0096845
2001,5,17,.0062908
2001,5,18,-.0150355
2001,5,21,-.011643
2001,5,22,.0098465
2001,5,23,.0084519
2001,5,24,-.0100303
2001,5,25,-.0049033
2001,5,28,-.0140879
2001,5,29,.0071901
2001,5,30,.0009218
2001,5,31,-.004109
2001,6,1,.0025435
2001,6,4,-.0015536
2001,6,5,-.0150387
2001,6,6,-.0057143
2001,6,7,.0019105
2001,6,8,-.0066728
2001,6,11,-.0073073
2001,6,12,.0033284
2001,6,13,-.0051171
2001,6,15,.0206536
2001,6,18,.0224346
2001,6,19,.0117878
2001,6,20,.0023369
2001,6,21,-.0287167
2001,6,22,.0110163
2001,6,25,.001607
2001,6,26,-.0054616
2001,6,27,.0017683
2001,6,28,-.0061065
2001,6,29,-.0055426
2001,7,2,.0011618
2001,7,3,-.0029619
2001,7,4,.0064868
2001,7,5,-.0073932
2001,7,6,.0238573
2001,7,10,.0077283
2001,7,11,-.0198995
2001,7,12,.0119321
2001,7,13,-.0099797
2001,7,16,-.0002876
2001,7,17,-.0147173
2001,7,18,.0169963
2001,7,19,.0209057
2001,7,20,-.011796
2001,7,23,-.0069519
2001,7,24,.0198666
2001,7,25,-.0064704
2001,7,26,.0131821
2001,7,27,.0076528
2001,7,30,.014228
2001,7,31,.0075649
2001,8,1,-.0076017
2001,8,2,-.006069
2001,8,3,.0188843
2001,8,6,-.0081246
2001,8,7,-.0051606
2001,8,8,.0049402
2001,8,9,-.0031361
2001,8,10,-.0038066
2001,8,13,.0008831
2001,8,14,.0044931
2001,8,15,.0047378
2001,8,16,.0133065
2001,8,17,.0134679
2001,8,20,-.0026238
2001,8,21,.0207675
2001,8,22,.0061737
2001,8,23,.010143
2001,8,24,-.0083379
2001,8,27,-.0018095
2001,8,28,.0067021
2001,8,29,-.0154976
2001,8,30,.0056134
2001,8,31,-.0118381
2001,9,3,-.0215487
2001,9,4,.0212365
2001,9,5,.0287927
2001,9,6,-.0028962
2001,9,10,.0030791
2001,9,11,.0502339
2001,9,12,-.0240954
2001,9,13,-.0070899
2001,9,14,-.013098
2001,9,17,.0283504
2001,9,18,.0145056
2001,9,19,-.0279857
2001,9,20,-.0007864
2001,9,21,.0347932
2001,9,24,-.0190793
2001,9,25,.0215535
2001,9,26,.0088147
2001,9,27,-.049964
2001,9,28,.0018076
2001,10,1,.0044621
2001,10,2,.0028994
2001,10,3,-.0001056
2001,10,4,.0244229
2001,10,5,-.0211491
2001,10,8,.0127206
2001,10,9,.0025811
2001,10,10,.0041613
2001,10,11,.0053234
2001,10,15,-.0281252
2001,10,16,-.0104254
2001,10,17,.0052169
2001,10,18,.0095923
2001,10,19,-.0436437
2001,10,22,-.0267225
2001,10,23,.0199753
2001,10,24,-.0030834
2001,10,25,-.0254134
2001,10,26,-.0040698
2001,10,29,.0185599
2001,10,30,.017001
2001,10,31,-.0188343
2001,11,1,-.0243522
2001,11,5,-.042683
2001,11,6,-.034651
2001,11,7,-.02118
2001,11,8,.0112921
2001,11,9,.0020562
2001,11,12,.0107415
2001,11,13,-.0218719
2001,11,14,.0028588
2001,11,16,-.0041193
2001,11,19,.0118405
2001,11,20,.0273944
