ano,mes,dia,semana_si_100
2013,1,4,.0169157
2013,1,11,.0165527
2013,1,18,.016799
2013,1,24,.0172454
2013,2,1,.017159
2013,2,8,.0184797
2013,2,15,.0197762
2013,2,22,.0194488
2013,3,1,.0211128
2013,3,8,.0232229
2013,3,15,.0220986
2013,3,21,.0224783
2013,3,28,.0226011
2013,4,5,.0234162
2013,4,11,.0229211
2013,4,19,.0242345
2013,4,26,.0231268
2013,5,3,.0237337
2013,5,9,.0222267
2013,5,15,.021597
2013,5,23,.020608
2013,5,31,.0195391
2013,6,7,.0198211
2013,6,14,.0192727
2013,6,21,.0186725
2013,6,25,.01879
2013,7,1,.0199454
2013,7,12,.0196492
2013,7,19,.0203375
2013,7,26,.0197158
2013,8,2,.0193649
2013,8,9,.0208419
2013,8,16,.019517
2013,8,23,.0190472
2013,8,30,.0178263
2013,9,6,.0180891
2013,9,13,.0168786
2013,9,20,.0166797
2013,9,27,.0159863
2013,10,4,.0160816
2013,10,9,.0161602
2013,10,18,.0169046
2013,10,25,.0169174
2013,10,31,.0151639
2013,11,8,.0164932
2013,11,14,.0155065
2013,11,22,.0148182
2013,11,29,.0140435
2013,12,6,.0150746
2013,12,13,.0160466
2013,12,20,.0166268
2013,12,23,.0168731
2014,1,3,.0151099
2014,1,10,.0158428
2014,1,17,.0166667
2014,1,24,.0155537
2014,1,31,.0152544
2014,2,7,.0158308
2014,2,14,.0169338
2014,2,21,.0181105
2014,2,28,.0162425
2014,3,7,.0163467
2014,3,14,.0179257
2014,3,21,.0181977
2014,3,28,.0181101
2014,4,4,.0189123
2014,4,11,.0186819
2014,4,25,.0166281
2014,5,2,.0162625
2014,5,9,.0162761
2014,5,16,.0151547
2014,5,23,.0153262
2014,5,30,.0145454
2014,6,6,.0149062
2014,6,13,.0152577
2014,6,27,.0144048
2014,7,4,.0151446
2014,7,11,.014344
2014,7,15,.0144572
2014,8,1,.0133677
2014,8,8,.0135485
2014,8,15,.0138796
2014,8,22,.0127027
2014,8,29,.0123531
2014,9,5,.0131402
2014,9,12,.0124581
2014,9,19,.012498
2014,9,26,.0123503
2014,10,3,.0125696
2014,10,10,.0134972
2014,10,17,.0133625
2014,10,23,.0145164
2014,10,31,.0157674
2014,11,7,.0166062
2014,11,14,.0158163
2014,11,21,.0160619
2014,11,28,.0148763
2014,12,5,.0146922
2014,12,12,.0146431
2014,12,19,.0156999
2014,12,26,.0165754
2015,1,2,.01601
2015,1,9,.0167111
2015,1,16,.0169263
2015,1,23,.0174102
2015,1,30,.0173777
2015,2,6,.0174607
2015,2,13,.0179204
2015,2,20,.0183327
2015,2,27,.0178275
2015,3,6,.0176376
2015,3,13,.0181706
2015,3,20,.0198527
2015,3,27,.0200155
2015,4,2,.0197093
2015,4,10,.0202005
2015,4,17,.0196039
2015,4,24,.0196973
2015,4,30,.0190319
2015,5,8,.018013
2015,5,15,.0173802
2015,5,22,.0171907
2015,5,29,.0170168
2015,6,5,.0173155
2015,6,12,.018481
2015,6,19,.018743
2015,6,26,.0186819
2015,7,3,.0185899
2015,7,10,.0185749
2015,7,17,.0184203
2015,7,24,.0185267
2015,7,31,.0186441
2015,8,6,.0186304
2015,8,14,.0190301
2015,8,21,.0200058
2015,8,28,.020556
2015,9,4,.020526
2015,9,11,.0209455
2015,9,18,.0203551
2015,9,25,.0200341
2015,10,2,.0204641
2015,10,9,.0204017
2015,10,16,.0210167
2015,10,23,.020646
2015,10,30,.0202473
2015,11,6,.0194215
2015,11,13,.0192642
2015,11,19,.0193296
2015,11,27,.019644
2015,12,4,.019934
2015,12,11,.0196084
2015,12,18,.0192404
2015,12,23,.0193196
2015,12,30,.0189785
2016,1,8,.0185631
2016,1,15,.0197451
2016,1,22,.020226
2016,1,29,.0217209
2016,2,4,.0222226
2016,2,12,.02141
2016,2,19,.0205671
2016,2,26,.0201481
2016,3,4,.0206212
