ano,mes,dia,semana_aluguel_100
2013,1,4,.0210704
2013,1,11,.0166222
2013,1,18,.0148245
2013,1,24,.0145986
2013,2,1,.0142723
2013,2,8,.0141475
2013,2,15,.0139036
2013,2,22,.0142044
2013,3,1,.0158329
2013,3,8,.022861
2013,3,15,.0258578
2013,3,21,.0182779
2013,3,28,.0175618
2013,4,5,.020175
2013,4,11,.0184259
2013,4,19,.0284165
2013,4,26,.0259714
2013,5,3,.0404971
2013,5,9,.0377431
2013,5,15,.0192063
2013,5,23,.0171878
2013,5,31,.0172539
2013,6,7,.017458
2013,6,14,.0192679
2013,6,21,.0207473
2013,6,25,.0180224
2013,7,1,.0226396
2013,7,12,.0208056
2013,7,19,.0209786
2013,7,26,.0216099
2013,8,2,.0221418
2013,8,9,.0250929
2013,8,16,.0252011
2013,8,23,.0267779
2013,8,30,.0239563
2013,9,6,.0245902
2013,9,13,.0257667
2013,9,20,.0245869
2013,9,27,.0207957
2013,10,4,.0205107
2013,10,9,.018735
2013,10,18,.023978
2013,10,25,.0343953
2013,10,31,.0179557
2013,11,8,.0205988
2013,11,14,.0172954
2013,11,22,.0167292
2013,11,29,.0156206
2013,12,6,.0165816
2013,12,13,.0205503
2013,12,20,.0216373
2013,12,23,.0211562
2014,1,3,.02433
2014,1,10,.0239071
2014,1,17,.0255289
2014,1,24,.0256735
2014,1,31,.0193354
2014,2,7,.0192925
2014,2,14,.0191545
2014,2,21,.034104
2014,2,28,.0191993
2014,3,7,.0163182
2014,3,14,.0204456
2014,3,21,.0176822
2014,3,28,.0194322
2014,4,4,.0470379
2014,4,11,.0519872
2014,4,25,.025357
2014,5,2,.0314595
2014,5,9,.0301124
2014,5,16,.0145536
2014,5,23,.0144998
2014,5,30,.0135965
2014,6,6,.0133245
2014,6,13,.0127703
2014,6,27,.0115394
2014,7,4,.0126245
2014,7,11,.0107864
2014,7,15,.0109014
2014,8,1,.0205204
2014,8,8,.0114643
2014,8,15,.0144285
2014,8,22,.0103297
2014,8,29,.0090429
2014,9,5,.0110528
2014,9,12,.0102174
2014,9,19,.0126881
2014,9,26,.0083432
2014,10,3,.0088942
2014,10,10,.0082335
2014,10,17,.0104384
2014,10,23,.0272453
2014,10,31,.0118232
2014,11,7,.013094
2014,11,14,.0118378
2014,11,21,.0118353
2014,11,28,.0121229
2014,12,5,.0131762
2014,12,12,.0134885
2014,12,19,.0165711
2014,12,26,.0188057
2015,1,2,.014834
2015,1,9,.0140987
2015,1,16,.0137556
2015,1,23,.0136244
2015,1,30,.0133179
2015,2,6,.0139422
2015,2,13,.0149331
2015,2,20,.0136309
2015,2,27,.0141054
2015,3,6,.0136144
2015,3,13,.0141832
2015,3,20,.0154282
2015,3,27,.0237592
2015,4,2,.0207057
2015,4,10,.0209916
2015,4,17,.0238415
2015,4,24,.021158
2015,4,30,.0200436
2015,5,8,.023676
2015,5,15,.0182038
2015,5,22,.0152799
2015,5,29,.0146955
2015,6,5,.0125768
2015,6,12,.0130504
2015,6,19,.0117817
2015,6,26,.010866
2015,7,3,.0101808
2015,7,10,.0083739
2015,7,17,.0087415
2015,7,24,.0091661
2015,7,31,.0086744
2015,8,6,.0094269
2015,8,14,.0110863
2015,8,21,.0126139
2015,8,28,.0137356
2015,9,4,.0157834
2015,9,11,.0172777
2015,9,18,.0185798
2015,9,25,.0188542
2015,10,2,.0189876
2015,10,9,.0205531
2015,10,16,.0221315
2015,10,23,.0220383
2015,10,30,.0217892
2015,11,6,.0219005
2015,11,13,.0213232
2015,11,19,.0210802
2015,11,27,.0207605
2015,12,4,.0199941
2015,12,11,.0203183
2015,12,18,.0214921
2015,12,23,.0237353
2015,12,30,.0244162
2016,1,8,.0239379
2016,1,15,.0242094
2016,1,22,.0230413
2016,1,29,.025433
2016,2,4,.0271699
2016,2,12,.0286326
2016,2,19,.0278659
2016,2,26,.0275421
2016,3,4,.0280421
2016,3,11,.0278348
2016,3,18,.0256487
2016,3,24,.0240876
2016,4,1,.0215773
2016,4,8,.0190207
2016,4,15,.0187709
2016,4,22,.0165492
2016,4,29,.0143973
2016,5,6,.0131879
2016,5,13,.0125269
2016,5,20,.0115335
2016,5,27,.0105278
2016,6,3,.0098728
2016,6,10,.0089353
2016,6,17,.0088578
2016,6,24,.0091964
2016,7,1,.0096231
2016,7,8,.0097362
2016,7,15,.0106492
2016,7,22,.0101659
2016,7,29,.0102408
2016,8,5,.0109982
2016,8,12,.011186
2016,8,19,.0104807
2016,8,26,.0097338
2016,9,1,.0098515
2016,9,9,.0088062
2016,9,16,.0082036
2016,9,23,.0084717
2016,9,30,.0096656
2016,10,7,.0088874
2016,10,14,.0082855
2016,10,21,.008684
2016,10,28,.0089142
2016,11,4,.0073904
2016,11,11,.0080203
2016,11,18,.0083388
2016,11,25,.0079443
2016,12,2,.0078467
2016,12,9,.008968
2016,12,16,.0096047
2016,12,23,.0103346
2016,12,29,.0102129
2017,1,6,.0097765
2017,1,13,.0097416
2017,1,20,.0101367
2017,1,27,.009485
2017,2,3,.0099579
2017,2,10,.011855
2017,2,17,.0126565
2017,2,24,.0114996
2017,3,3,.0105772
2017,3,10,.0106797
2017,3,17,.0106205
2017,3,24,.0118826
2017,3,31,.0111357
2017,4,7,.0100333
2017,4,13,.0124076
