date,average_loan_fee
2013-01-04,2.2884550328398485
2013-01-07,2.082546938238684
2013-01-09,1.8737648844877013
2013-01-10,1.8129352206912057
2013-01-11,1.8050762497388724
2013-01-15,1.8156584451546895
2013-01-16,1.7880267694706447
2013-01-17,1.7581569685080651
2013-01-18,1.747653081531316
2013-01-21,1.760651964928638
2013-01-22,1.7749579594191744
2013-01-23,1.753706451277026
2013-01-24,1.7486880839124979
2013-01-28,1.761959399668582
2013-01-29,1.7342902234469757
2013-01-31,1.732460642093311
2013-02-01,1.706842033305397
2013-02-04,1.714571051697246
2013-02-05,1.6796794736474483
2013-02-06,1.6355294965602385
2013-02-07,1.6693174632280685
2013-02-08,1.6769558494965109
2013-02-15,1.7512785302772245
2013-02-19,1.8834976556748457
2013-02-21,1.9203157712936316
2013-02-22,1.9174774055366908
2013-02-26,2.0463323499108563
2013-02-27,2.1424793011349568
2013-02-28,2.230549013467316
2013-03-01,2.425091584225427
2013-03-04,2.4287162204831505
2013-03-05,2.5423218899858395
2013-03-06,2.7056077500978635
2013-03-07,2.8494945530516795
2013-03-08,3.5931929782158667
2013-03-11,3.113990249699952
2013-03-12,3.2460995763493075
2013-03-13,2.80014442299073
2013-03-14,3.3436534715885315
2013-03-15,3.130295410906077
2013-03-18,3.134464198089158
2013-03-19,2.8174869440933046
2013-03-20,2.7852632633223924
2013-03-21,2.7311887916881115
2013-03-25,2.7303020564037817
2013-03-26,2.6885743632599386
2013-03-27,2.686999467446745
2013-03-28,2.7614644109028044
2013-04-01,2.746760257266746
2013-04-02,2.9248756878126256
2013-04-03,3.1150191626418495
2013-04-04,3.084896030236201
2013-04-05,3.02490877333189
2013-04-08,2.9203868979213787
2013-04-09,2.749164236275541
2013-04-10,2.756643961389512
2013-04-11,2.755166339392556
2013-04-15,2.6688631660869797
2013-04-17,4.326723892318651
2013-04-18,6.042667831830204
2013-04-19,6.585125793119919
2013-04-22,5.283700131720448
2013-04-23,4.497968806758024
2013-04-24,3.1094280268447942
2013-04-25,3.0987451513488162
2013-04-26,3.1980735074310926
2013-04-29,3.301328316818046
2013-05-02,7.965802500429716
2013-05-03,8.42169292086469
2013-05-06,6.922431335934459
2013-05-07,4.927844269785492
2013-05-09,3.230242841542084
2013-05-14,3.234017723233045
2013-05-15,3.4974012008219884
2013-05-20,3.1433810644819733
2013-05-21,3.097616956822338
2013-05-22,3.108349574918153
2013-05-23,3.1015319168470525
2013-05-27,3.2225777566145672
2013-05-28,3.1501008932789167
2013-05-31,2.9820071223518845
2013-06-03,2.948466299410926
2013-06-04,2.9104572011330054
2013-06-05,2.8693378061321178
2013-06-07,2.8242448360315264
2013-06-10,2.7738424157419237
2013-06-11,2.871580566677156
2013-06-12,2.881898649976596
2013-06-13,3.137500734354777
2013-06-14,3.5683614362259553
2013-06-17,3.3536051889368497
2013-06-18,3.350730850635679
2013-06-19,3.045575632098442
2013-06-21,3.140087091142341
2013-06-24,3.2738196022378085
2013-06-25,3.326538486156484
2013-07-01,3.986488901334328
2013-07-10,3.596777277761171
2013-07-11,3.5953864620833
2013-07-12,3.6268483393879607
2013-07-15,3.4705726730267332
2013-07-16,3.4294346816656978
2013-07-17,3.46048409450982
2013-07-19,3.529885245936041
2013-07-22,3.490127069444654
2013-07-23,3.584593388955167
2013-07-24,3.665601589578825
2013-07-25,3.673411790832401
2013-07-26,3.653749269490392
2013-07-31,3.8028385956964557
2013-08-01,3.809073208320649
2013-08-02,3.864427726599749
2013-08-05,3.8381931389669357
2013-08-06,3.7888651506633724
2013-08-07,3.987182427912992
2013-08-08,4.036042527034008
2013-08-09,4.383611384316585
2013-08-12,4.214972452390011
2013-08-13,4.29881584295633
2013-08-14,3.7808557790950355
2013-08-15,3.8876493023813476
2013-08-16,3.9047603955634673
2013-08-19,4.270057848141417
2013-08-20,4.455084643466134
2013-08-21,4.770856798061548
2013-08-22,4.917680495082092
2013-08-23,4.904892088793258
2013-08-26,4.883902691289933
2013-08-27,4.799950623676562
2013-08-28,4.786760580878694
2013-08-29,4.624739675739331
2013-08-30,4.491792232132771
2013-09-02,4.357925599228604
2013-09-03,4.333194438875017
2013-09-04,4.420436616970609
2013-09-05,4.270127979063668
2013-09-06,4.625479876207768
2013-09-09,4.9947360113204295
2013-09-11,4.749807874657869
2013-09-12,4.5003450637913796
2013-09-13,4.79850543224176
2013-09-16,4.858007669973447
2013-09-17,4.5637006132697095
